variant,instance,well,variable,group,status,n_finite_baseline,baseline_distinct,centre,scale
checked,WELL-00001_20140124083303,WELL-00001,P-ANULAR,mixed,dropped: zero scale,180,35,18533150.0,0.0
checked,WELL-00001_20140124083303,WELL-00001,P-JUS-CKGL,mixed,dropped: zero scale,180,1,-300917.8,0.0
checked,WELL-00001_20140124083303,WELL-00001,P-MON-CKP,mixed,kept,180,179,9400166.75,1782.8265
checked,WELL-00001_20140124083303,WELL-00001,P-PDG,mixed,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20140124083303,WELL-00001,P-TPT,mixed,dropped: zero scale,180,31,18433410.0,0.0
checked,WELL-00001_20140124083303,WELL-00001,T-TPT,mixed,kept,180,115,116.8902,0.0178
checked,WELL-00001_20170201010207,WELL-00001,P-ANULAR,normal,kept,180,113,12671135.0,40508.3385
checked,WELL-00001_20170201010207,WELL-00001,P-JUS-CKGL,normal,kept,180,180,1565236.0,806.905
checked,WELL-00001_20170201010207,WELL-00001,P-MON-CKP,normal,kept,180,180,1582554.5,93788.9054
checked,WELL-00001_20170201010207,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170201010207,WELL-00001,P-TPT,normal,kept,180,92,10062145.0,18376.827
checked,WELL-00001_20170201010207,WELL-00001,T-TPT,normal,kept,180,153,119.0459,0.0267
checked,WELL-00001_20170201060114,WELL-00001,P-ANULAR,normal,kept,180,107,12692877.5,14970.5535
checked,WELL-00001_20170201060114,WELL-00001,P-JUS-CKGL,normal,kept,180,180,1568854.0,808.017
checked,WELL-00001_20170201060114,WELL-00001,P-MON-CKP,normal,kept,180,180,1580630.5,83301.3636
checked,WELL-00001_20170201060114,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170201060114,WELL-00001,P-TPT,normal,kept,180,91,10021175.0,11983.1145
checked,WELL-00001_20170201060114,WELL-00001,T-TPT,normal,kept,180,178,119.0359,0.0224
checked,WELL-00001_20170201110124,WELL-00001,P-ANULAR,normal,kept,180,46,12628080.0,29577.87
checked,WELL-00001_20170201110124,WELL-00001,P-JUS-CKGL,normal,kept,180,180,1572488.0,807.6463
checked,WELL-00001_20170201110124,WELL-00001,P-MON-CKP,normal,kept,180,180,1577484.0,110530.0539
checked,WELL-00001_20170201110124,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170201110124,WELL-00001,P-TPT,normal,kept,180,104,9994737.0,5699.485
checked,WELL-00001_20170201110124,WELL-00001,T-TPT,normal,kept,180,105,118.9811,0.0281
checked,WELL-00001_20170201160311,WELL-00001,P-ANULAR,normal,kept,180,37,12628080.0,29577.87
checked,WELL-00001_20170201160311,WELL-00001,P-JUS-CKGL,normal,kept,180,180,1574561.5,203.1162
checked,WELL-00001_20170201160311,WELL-00001,P-MON-CKP,normal,kept,180,180,1588335.5,89838.147
checked,WELL-00001_20170201160311,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170201160311,WELL-00001,P-TPT,normal,kept,180,124,9960325.25,26464.7806
checked,WELL-00001_20170201160311,WELL-00001,T-TPT,normal,dropped: zero scale,180,43,118.864,0.0
checked,WELL-00001_20170201210228,WELL-00001,P-ANULAR,normal,dropped: zero scale,180,42,12528330.0,0.0
checked,WELL-00001_20170201210228,WELL-00001,P-JUS-CKGL,normal,kept,180,180,1575472.5,320.2416
checked,WELL-00001_20170201210228,WELL-00001,P-MON-CKP,normal,kept,180,179,1586612.25,96018.7357
checked,WELL-00001_20170201210228,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170201210228,WELL-00001,P-TPT,normal,kept,180,138,9914938.0,13760.0106
checked,WELL-00001_20170201210228,WELL-00001,T-TPT,normal,kept,180,45,118.7756,0.0152
checked,WELL-00001_20170202020343,WELL-00001,P-ANULAR,normal,kept,180,132,12667980.0,88733.61
checked,WELL-00001_20170202020343,WELL-00001,P-JUS-CKGL,normal,kept,180,180,1579140.0,816.1713
checked,WELL-00001_20170202020343,WELL-00001,P-MON-CKP,normal,kept,180,180,1571479.25,103024.3914
checked,WELL-00001_20170202020343,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170202020343,WELL-00001,P-TPT,normal,kept,180,121,9895772.0,16646.6328
checked,WELL-00001_20170202020343,WELL-00001,T-TPT,normal,dropped: zero scale,180,2,118.7858,0.0
checked,WELL-00001_20170202070239,WELL-00001,P-ANULAR,normal,kept,180,86,12713855.0,20719.335
checked,WELL-00001_20170202070239,WELL-00001,P-JUS-CKGL,normal,kept,180,180,1574455.5,3626.8102
checked,WELL-00001_20170202070239,WELL-00001,P-MON-CKP,normal,kept,180,179,1550750.75,94692.55
checked,WELL-00001_20170202070239,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170202070239,WELL-00001,P-TPT,normal,kept,180,86,9894989.0,13793.3691
checked,WELL-00001_20170202070239,WELL-00001,T-TPT,normal,dropped: zero scale,180,4,118.7858,0.0
checked,WELL-00001_20170218000146,WELL-00001,P-ANULAR,normal,kept,180,107,14516137.5,40182.1665
checked,WELL-00001_20170218000146,WELL-00001,P-JUS-CKGL,normal,kept,180,180,3364815.5,200.8923
checked,WELL-00001_20170218000146,WELL-00001,P-MON-CKP,normal,kept,180,179,5791275.75,26616.3765
checked,WELL-00001_20170218000146,WELL-00001,P-PDG,normal,dropped: zero scale,180,1,0.0,0.0
checked,WELL-00001_20170218000146,WELL-00001,P-TPT,normal,kept,180,139,13848305.0,48581.0955
checked,WELL-00001_20170218000146,WELL-00001,T-TPT,normal,kept,180,132,117.6677,0.091
checked,WELL-00001_20170218050218,WELL-00001,P-ANULAR,normal,kept,180,83,14622697.5,29070.0795
