variant,detector,instance,well,folder_label,group,n_windows,n_stream,n_scored,n_refused,n_inf_windows,threshold,first_fault_position,n_pre,n_pre_fired,detected,delay_windows,refusal
checked,clock,WELL-00001_20140124083303,WELL-00001,1,mixed,16,13,13,0,0,2.0,12.0,9.0,9.0,True,0.0,
checked,clock,WELL-00001_20170226130146,WELL-00001,7,mixed,20,17,17,0,0,2.0,9.0,6.0,6.0,True,0.0,
checked,clock,WELL-00002_20140212160333,WELL-00002,6,mixed,6,3,3,0,0,2.0,4.0,1.0,1.0,True,0.0,
checked,clock,WELL-00006_20170731170930,WELL-00006,1,mixed,26,23,23,0,0,2.0,15.0,12.0,12.0,True,0.0,
checked,clock,WELL-00006_20180617190257,WELL-00006,1,mixed,14,11,11,0,0,2.0,11.0,8.0,8.0,True,0.0,
checked,clock,WELL-00006_20180620152903,WELL-00006,7,mixed,31,28,28,0,0,2.0,3.0,0.0,0.0,True,0.0,
checked,clock,WELL-00014_20160304155906,WELL-00014,9,mixed,18,15,15,0,0,2.0,5.0,2.0,2.0,True,0.0,
checked,clock,WELL-00014_20160306070000,WELL-00014,9,mixed,9,6,6,0,0,2.0,4.0,1.0,1.0,True,0.0,
checked,clock,WELL-00014_20170214190000,WELL-00014,9,mixed,5,2,2,0,0,2.0,4.0,1.0,1.0,True,0.0,
checked,clock,WELL-00015_20170620122925,WELL-00015,5,mixed,5,2,2,0,0,2.0,3.0,0.0,0.0,True,0.0,
checked,clock,WELL-00019_20120601165020,WELL-00019,8,mixed,66,63,63,0,0,2.0,28.0,25.0,25.0,True,0.0,
checked,clock,WELL-00019_20141117190526,WELL-00019,8,mixed,86,83,83,0,0,2.0,11.0,8.0,8.0,True,0.0,
checked,clock,WELL-00019_20150614025713,WELL-00019,8,mixed,45,42,42,0,0,2.0,14.0,11.0,11.0,True,0.0,
checked,clock,WELL-00019_20210617032654,WELL-00019,8,mixed,69,66,66,0,0,2.0,14.0,11.0,11.0,True,0.0,
checked,clock,WELL-00020_20140319110000,WELL-00020,5,mixed,16,13,13,0,0,2.0,3.0,0.0,0.0,True,0.0,
checked,clock,WELL-00021_20180611011218,WELL-00021,7,mixed,11,8,8,0,0,2.0,4.0,1.0,1.0,True,0.0,
checked,clock,WELL-00021_20190403013307,WELL-00021,7,mixed,12,9,9,0,0,2.0,7.0,4.0,4.0,True,0.0,
checked,clock,WELL-00022_20180802233838,WELL-00022,7,mixed,83,80,80,0,0,2.0,22.0,19.0,19.0,True,0.0,
checked,clock,WELL-00022_20180912025800,WELL-00022,7,mixed,155,152,152,0,0,2.0,7.0,4.0,4.0,True,0.0,
checked,clock,WELL-00022_20180919003240,WELL-00022,7,mixed,79,76,76,0,0,2.0,9.0,6.0,6.0,True,0.0,
checked,clock,WELL-00022_20180925003447,WELL-00022,7,mixed,212,209,209,0,0,2.0,13.0,10.0,10.0,True,0.0,
checked,clock,WELL-00022_20181007080700,WELL-00022,7,mixed,108,105,105,0,0,2.0,21.0,18.0,18.0,True,0.0,
checked,clock,WELL-00022_20181020133850,WELL-00022,7,mixed,48,45,45,0,0,2.0,9.0,6.0,6.0,True,0.0,
checked,clock,WELL-00022_20181026005827,WELL-00022,7,mixed,134,131,131,0,0,2.0,28.0,25.0,25.0,True,0.0,
checked,clock,WELL-00022_20181101193049,WELL-00022,7,mixed,31,28,28,0,0,2.0,6.0,3.0,3.0,True,0.0,
checked,clock,WELL-00023_20180826212652,WELL-00023,7,mixed,154,151,151,0,0,2.0,8.0,5.0,5.0,True,0.0,
checked,clock,WELL-00023_20181014121654,WELL-00023,7,mixed,78,75,75,0,0,2.0,18.0,15.0,15.0,True,0.0,
checked,clock,WELL-00023_20181019115124,WELL-00023,7,mixed,134,131,131,0,0,2.0,18.0,15.0,15.0,True,0.0,
checked,clock,WELL-00023_20181030045054,WELL-00023,7,mixed,62,59,59,0,0,2.0,6.0,3.0,3.0,True,0.0,
checked,clock,WELL-00024_20160712123044,WELL-00024,7,mixed,109,106,106,0,0,2.0,7.0,4.0,4.0,True,0.0,
checked,clock,WELL-00024_20160720230624,WELL-00024,7,mixed,32,29,29,0,0,2.0,11.0,8.0,8.0,True,0.0,
checked,clock,WELL-00024_20160722105543,WELL-00024,7,mixed,53,50,50,0,0,2.0,9.0,6.0,6.0,True,0.0,
checked,clock,WELL-00024_20160729172014,WELL-00024,7,mixed,37,34,34,0,0,2.0,4.0,1.0,1.0,True,0.0,
checked,clock,WELL-00024_20160825100303,WELL-00024,7,mixed,21,18,18,0,0,2.0,9.0,6.0,6.0,True,0.0,
checked,clock,WELL-00024_20160909220000,WELL-00024,7,mixed,32,29,29,0,0,2.0,18.0,15.0,15.0,True,0.0,
checked,clock,WELL-00024_20161001112049,WELL-00024,7,mixed,50,47,47,0,0,2.0,5.0,2.0,2.0,True,0.0,
checked,clock,WELL-00024_20161026065657,WELL-00024,7,mixed,48,45,45,0,0,2.0,6.0,3.0,3.0,True,0.0,
checked,clock,WELL-00025_20200629194141,WELL-00025,8,mixed,199,196,196,0,0,2.0,23.0,20.0,20.0,True,0.0,
checked,clock,WELL-00026_20160601130000,WELL-00026,8,mixed,51,48,48,0,0,2.0,5.0,2.0,2.0,True,0.0,
checked,clock,WELL-00026_20170207230000,WELL-00026,8,mixed,161,158,158,0,0,2.0,36.0,33.0,33.0,True,0.0,
checked,clock,WELL-00026_20170608230000,WELL-00026,8,mixed,144,141,141,0,0,2.0,65.0,62.0,62.0,True,0.0,
checked,clock,WELL-00027_20230918170106,WELL-00027,8,mixed,188,185,185,0,0,2.0,13.0,10.0,10.0,True,0.0,
checked,clock,WELL-00028_20210617053128,WELL-00028,8,mixed,89,86,86,0,0,2.0,12.0,9.0,9.0,True,0.0,
checked,clock,WELL-00029_20201020231724,WELL-00029,8,mixed,39,36,36,0,0,2.0,15.0,12.0,12.0,True,0.0,
checked,clock,WELL-00030_20141108012623,WELL-00030,8,mixed,43,40,40,0,0,2.0,8.0,5.0,5.0,True,0.0,
checked,clock,WELL-00031_20140403170404,WELL-00031,8,mixed,99,96,96,0,0,2.0,7.0,4.0,4.0,True,0.0,
checked,clock,WELL-00032_20110830235321,WELL-00032,8,mixed,36,33,33,0,0,2.0,10.0,7.0,7.0,True,0.0,
checked,clock,WELL-00037_20181011071238,WELL-00037,9,mixed,7,4,4,0,0,2.0,4.0,1.0,1.0,True,0.0,
checked,clock,WELL-00037_20181013022427,WELL-00037,9,mixed,5,2,2,0,0,2.0,3.0,0.0,0.0,True,0.0,
checked,clock,WELL-00040_20181013160242,WELL-00040,9,mixed,8,5,5,0,0,2.0,4.0,1.0,1.0,True,0.0,
checked,clock,WELL-00041_20181013160201,WELL-00041,9,mixed,8,5,5,0,0,2.0,4.0,1.0,1.0,True,0.0,
checked,clock,WELL-00042_20141217142745,WELL-00042,9,mixed,9,6,6,0,0,2.0,5.0,2.0,2.0,True,0.0,
checked,clock,WELL-00042_20141221190219,WELL-00042,9,mixed,7,4,4,0,0,2.0,4.0,1.0,1.0,True,0.0,
checked,clock,WELL-00001_20170201010207,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170201060114,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170201110124,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170201160311,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170201210228,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170202020343,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170202070239,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170218000146,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170218050218,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170218100218,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170218150135,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170219010042,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170219060031,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170219110021,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170219160053,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170219210332,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170421090251,WELL-00001,0,normal,5,2,2,0,0,2.0,,2.0,2.0,,,
checked,clock,WELL-00001_20170422030000,WELL-00001,0,normal,5,2,2,0,0,2.0,,2.0,2.0,,,
checked,clock,WELL-00001_20170424170042,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170424220156,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
checked,clock,WELL-00001_20170425030207,WELL-00001,0,normal,4,1,1,0,0,2.0,,1.0,1.0,,,
