variant,detector,group,n_instances,n_instances_with_threshold,n_instances_infinite_threshold,n_stream_windows,n_windows_scored,n_windows_refused,n_windows_infinite,roc_auc,pr_auc,auc_refusal,n_pairs,n_pairs_kept,n_pairs_zero_scale,n_pairs_insufficient_quality,n_pre_windows,far_window,far_record,far_floor,over_floor,n_detected,detect_rate,median_delay_windows
checked,screen,normal,538,538,0,968,968,0,0,,,fold under test carries one class only; no ranking metric exists,3228,1828,610,0,968,0.7345,0.7119,0.25,0.4845,0,,
checked,screen,mixed,53,53,0,3049,3049,0,0,0.8938,0.9806,,318,224,57,0,444,0.8716,0.8113,0.25,0.6216,53,1.0,0.0
checked,screen,positive_baseline,54,54,0,478,478,0,0,,,fold under test carries one class only; no ranking metric exists,324,290,23,0,0,,,0.25,,37,0.6852,3.0
checked,screen,short,468,0,0,0,0,0,0,,,no scored window,0,0,0,0,0,,,0.25,,0,,
checked,screen,pooled,645,645,0,4495,4495,0,0,0.8665,0.9291,,3870,2342,690,0,1412,0.7776,0.6605,0.25,0.5276,90,0.8411,0.5
checked,spc,normal,538,538,0,968,968,0,0,,,fold under test carries one class only; no ranking metric exists,3228,1828,610,0,968,0.5341,0.4535,0.25,0.2841,0,,
checked,spc,mixed,53,53,0,3049,3049,0,0,0.8336,0.966,,318,224,57,0,444,0.705,0.7547,0.25,0.455,53,1.0,0.0
checked,spc,positive_baseline,54,54,0,478,478,0,0,,,fold under test carries one class only; no ranking metric exists,324,290,23,0,0,,,0.25,,29,0.537,3.0
checked,spc,short,468,0,0,0,0,0,0,,,no scored window,0,0,0,0,0,,,0.25,,0,,
checked,spc,pooled,645,645,0,4495,4495,0,0,0.754,0.8178,,3870,2342,690,0,1412,0.5878,0.4403,0.25,0.3378,82,0.7664,0.5
checked,clock,normal,538,538,0,968,968,0,0,,,fold under test carries one class only; no ranking metric exists,3228,1828,610,0,968,1.0,1.0,0.25,0.75,0,,
checked,clock,mixed,53,53,0,3049,3049,0,0,0.9143,0.9831,,318,224,57,0,444,1.0,0.9245,0.25,0.75,53,1.0,0.0
checked,clock,positive_baseline,54,54,0,478,478,0,0,,,fold under test carries one class only; no ranking metric exists,324,290,23,0,0,,,0.25,,54,1.0,3.0
checked,clock,short,468,0,0,0,0,0,0,,,no scored window,0,0,0,0,0,,,0.25,,0,,
checked,clock,pooled,645,645,0,4495,4495,0,0,0.8997,0.9506,,3870,2342,690,0,1412,1.0,0.9101,0.25,0.75,107,1.0,1.0
unchecked,screen,normal,538,538,58,968,968,0,75,,,fold under test carries one class only; no ranking metric exists,3228,2438,610,0,968,0.6901,0.6338,0.25,0.4401,0,,
unchecked,screen,mixed,53,53,5,3049,3049,0,223,0.8458,0.9444,,318,281,57,0,444,0.8333,0.717,0.25,0.5833,48,0.9057,0.0
unchecked,screen,positive_baseline,54,54,5,478,478,0,66,,,fold under test carries one class only; no ranking metric exists,324,313,23,0,0,,,0.25,,32,0.5926,3.0
unchecked,screen,short,468,0,0,0,0,0,0,,,no scored window,0,0,0,0,0,,,0.25,,0,,
unchecked,screen,pooled,645,645,68,4495,4495,0,364,0.8183,0.85,,3870,3032,690,0,1412,0.7351,0.5876,0.25,0.4851,80,0.7477,0.0
unchecked,spc,normal,538,538,0,968,968,0,0,,,fold under test carries one class only; no ranking metric exists,3228,2438,610,0,968,0.5517,0.4851,0.25,0.3017,0,,
unchecked,spc,mixed,53,53,0,3049,3049,0,0,0.8302,0.965,,318,281,57,0,444,0.714,0.7358,0.25,0.464,53,1.0,0.0
unchecked,spc,positive_baseline,54,54,0,478,478,0,0,,,fold under test carries one class only; no ranking metric exists,324,313,23,0,0,,,0.25,,29,0.537,3.0
unchecked,spc,short,468,0,0,0,0,0,0,,,no scored window,0,0,0,0,0,,,0.25,,0,,
unchecked,spc,pooled,645,645,0,4495,4495,0,0,0.7474,0.8105,,3870,3032,690,0,1412,0.6027,0.4651,0.25,0.3527,82,0.7664,0.0
unchecked,clock,normal,538,538,0,968,968,0,0,,,fold under test carries one class only; no ranking metric exists,3228,2438,610,0,968,1.0,1.0,0.25,0.75,0,,
unchecked,clock,mixed,53,53,0,3049,3049,0,0,0.9143,0.9831,,318,281,57,0,444,1.0,0.9245,0.25,0.75,53,1.0,0.0
unchecked,clock,positive_baseline,54,54,0,478,478,0,0,,,fold under test carries one class only; no ranking metric exists,324,313,23,0,0,,,0.25,,54,1.0,3.0
unchecked,clock,short,468,0,0,0,0,0,0,,,no scored window,0,0,0,0,0,,,0.25,,0,,
unchecked,clock,pooled,645,645,0,4495,4495,0,0,0.8997,0.9506,,3870,3032,690,0,1412,1.0,0.9101,0.25,0.75,107,1.0,1.0
