tool,fold,n_instances,n_pre_windows,n_post_windows,roc_auc,paired_hit_post0,paired_hit_post1,false_alarm_rate_pre,detection_rate_post1,ranking_refusal
chronos-bolt-small surprise,0,8,8,16,0.4688,0.75,0.375,0.25,0.125,
chronos-bolt-small surprise,1,8,8,16,0.7891,1.0,0.75,0.25,0.5,
chronos-bolt-small surprise,2,6,6,12,0.8194,0.8333,0.6667,0.0,0.5,
chronos-bolt-small surprise,3,5,5,10,0.66,1.0,0.2,0.2,0.2,
chronos-bolt-small surprise,4,6,6,12,0.5972,1.0,0.6667,0.1667,0.0,
clock,0,11,11,22,0.626,1.0,1.0,1.0,1.0,
clock,1,11,11,22,0.686,1.0,1.0,1.0,1.0,
clock,2,11,11,22,0.6343,1.0,1.0,1.0,1.0,
clock,3,8,8,16,0.6445,1.0,1.0,1.0,1.0,
clock,4,7,7,14,0.6378,1.0,1.0,1.0,1.0,
clock (same instances),0,8,8,16,0.6406,1.0,1.0,1.0,1.0,
clock (same instances),1,8,8,16,0.6758,1.0,1.0,1.0,1.0,
clock (same instances),2,6,6,12,0.6667,1.0,1.0,1.0,1.0,
clock (same instances),3,5,5,10,0.66,1.0,1.0,1.0,1.0,
clock (same instances),4,6,6,12,0.6181,1.0,1.0,1.0,1.0,
