tool,instance,well,folder_label,onset_kind,fold,n_baseline_scored,baseline_max,pre,post0,post1,refusal
chronos-bolt-small surprise,WELL-00001_20140124083303,WELL-00001,1,transient,4,3,2.4689,7.6025,33.2453,0.5652,
chronos-bolt-small surprise,WELL-00001_20170226130146,WELL-00001,7,transient,4,3,0.3546,0.2698,0.2723,0.3254,
chronos-bolt-small surprise,WELL-00002_20140212160333,WELL-00002,6,transient,3,0,,,,,"0 of 6 variables scored, fewer than 4; P-ANULAR: context: 11 of 240 minutes with data, fewer than 60; P-JUS-CKGL: context: 0 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context: 11 of 240 minutes with data, fewer than 60; P-TPT: context: 11 of 240 minutes with data, fewer than 60; T-TPT: context: 11 of 240 minutes with data, fewer than 60; 3 of 6 variables scored, fewer than 4; P-JUS-CKGL: context: 0 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale; baseline: 0 of 3 windows scored, no threshold; post0: 3 of 6 variables scored, fewer than 4; P-JUS-CKGL: context: 0 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale; post1: 3 of 6 variables scored, fewer than 4; P-JUS-CKGL: context: 0 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale; pre: 3 of 6 variables scored, fewer than 4; P-JUS-CKGL: context: 0 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 0 of 240 minutes with data, fewer than 60; P-PDG: context is constant: the surprise has no scale"
chronos-bolt-small surprise,WELL-00006_20170731170930,WELL-00006,1,transient,2,3,0.3879,0.1971,0.5311,0.6205,
chronos-bolt-small surprise,WELL-00006_20180617190257,WELL-00006,1,transient,2,3,0.3252,0.2309,0.7359,0.8313,
chronos-bolt-small surprise,WELL-00014_20160304155906,WELL-00014,9,transient,2,3,0.4659,0.2514,0.1968,0.1755,
chronos-bolt-small surprise,WELL-00014_20160306070000,WELL-00014,9,transient,2,2,,0.4385,0.2327,0.2723,"0 of 6 variables scored, fewer than 4; P-ANULAR: context: 2 of 240 minutes with data, fewer than 60; P-JUS-CKGL: context: 2 of 240 minutes with data, fewer than 60; P-MON-CKP: context: 2 of 240 minutes with data, fewer than 60; P-PDG: context: 2 of 240 minutes with data, fewer than 60; P-TPT: context: 2 of 240 minutes with data, fewer than 60; T-TPT: context: 2 of 240 minutes with data, fewer than 60; baseline: 2 of 3 windows scored, no threshold"
chronos-bolt-small surprise,WELL-00019_20120601165020,WELL-00019,8,transient,3,3,0.5497,0.4434,18.2323,0.166,
chronos-bolt-small surprise,WELL-00019_20141117190526,WELL-00019,8,transient,3,3,0.4093,0.4636,23.5952,0.25,
chronos-bolt-small surprise,WELL-00019_20150614025713,WELL-00019,8,transient,3,3,0.4058,0.2204,5.4778,0.1945,
