instance,well,window_key,window_index,onset_offset,role,variable,n_context_minutes,n_context_filled,n_target_minutes,n_target_skipped,surprise,refusal
WELL-00001_20140124083303,WELL-00001,0,8,-5,baseline,P-ANULAR,240,0,60,0,0.0503,
WELL-00001_20140124083303,WELL-00001,0,8,-5,baseline,P-JUS-CKGL,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,0,8,-5,baseline,P-MON-CKP,240,0,60,0,0.1542,
WELL-00001_20140124083303,WELL-00001,0,8,-5,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,0,8,-5,baseline,P-TPT,240,0,60,0,0.0582,
WELL-00001_20140124083303,WELL-00001,0,8,-5,baseline,T-TPT,240,0,60,0,0.1666,
WELL-00001_20140124083303,WELL-00001,1,9,-4,baseline,P-ANULAR,240,0,60,0,1.9751,
WELL-00001_20140124083303,WELL-00001,1,9,-4,baseline,P-JUS-CKGL,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,1,9,-4,baseline,P-MON-CKP,240,0,60,0,0.1568,
WELL-00001_20140124083303,WELL-00001,1,9,-4,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,1,9,-4,baseline,P-TPT,240,0,60,0,2.3311,
WELL-00001_20140124083303,WELL-00001,1,9,-4,baseline,T-TPT,240,0,60,0,0.2432,
WELL-00001_20140124083303,WELL-00001,2,10,-3,baseline,P-ANULAR,240,0,60,0,8.7257,
WELL-00001_20140124083303,WELL-00001,2,10,-3,baseline,P-JUS-CKGL,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,2,10,-3,baseline,P-MON-CKP,240,0,60,0,0.6065,
WELL-00001_20140124083303,WELL-00001,2,10,-3,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,2,10,-3,baseline,P-TPT,240,0,60,0,0.3026,
WELL-00001_20140124083303,WELL-00001,2,10,-3,baseline,T-TPT,240,0,60,0,0.2409,
WELL-00001_20140124083303,WELL-00001,3,11,-2,pre,P-ANULAR,240,0,60,0,26.7112,
WELL-00001_20140124083303,WELL-00001,3,11,-2,pre,P-JUS-CKGL,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,3,11,-2,pre,P-MON-CKP,240,0,60,0,2.6357,
WELL-00001_20140124083303,WELL-00001,3,11,-2,pre,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,3,11,-2,pre,P-TPT,240,0,60,0,0.6506,
WELL-00001_20140124083303,WELL-00001,3,11,-2,pre,T-TPT,240,0,60,0,0.4124,
WELL-00001_20140124083303,WELL-00001,4,13,0,post0,P-ANULAR,240,0,60,0,14.7978,
WELL-00001_20140124083303,WELL-00001,4,13,0,post0,P-JUS-CKGL,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,4,13,0,post0,P-MON-CKP,240,0,60,0,97.3422,
WELL-00001_20140124083303,WELL-00001,4,13,0,post0,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,4,13,0,post0,P-TPT,240,0,60,0,16.4748,
WELL-00001_20140124083303,WELL-00001,4,13,0,post0,T-TPT,240,0,60,0,4.3664,
WELL-00001_20140124083303,WELL-00001,5,14,1,post1,P-ANULAR,240,0,60,0,0.4233,
WELL-00001_20140124083303,WELL-00001,5,14,1,post1,P-JUS-CKGL,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,5,14,1,post1,P-MON-CKP,240,0,60,0,0.2296,
WELL-00001_20140124083303,WELL-00001,5,14,1,post1,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20140124083303,WELL-00001,5,14,1,post1,P-TPT,240,0,60,0,0.3777,
WELL-00001_20140124083303,WELL-00001,5,14,1,post1,T-TPT,240,0,60,0,1.2301,
WELL-00001_20170226130146,WELL-00001,6,5,-5,baseline,P-ANULAR,240,0,60,0,0.353,
WELL-00001_20170226130146,WELL-00001,6,5,-5,baseline,P-JUS-CKGL,240,0,60,0,0.4498,
WELL-00001_20170226130146,WELL-00001,6,5,-5,baseline,P-MON-CKP,240,0,60,0,0.2946,
WELL-00001_20170226130146,WELL-00001,6,5,-5,baseline,P-PDG,240,,60,,,context is constant: the surprise has no scale
WELL-00001_20170226130146,WELL-00001,6,5,-5,baseline,P-TPT,240,0,60,0,0.3574,
WELL-00001_20170226130146,WELL-00001,6,5,-5,baseline,T-TPT,240,0,60,0,0.3182,
WELL-00001_20170226130146,WELL-00001,7,6,-4,baseline,P-ANULAR,240,0,60,0,0.0514,
WELL-00001_20170226130146,WELL-00001,7,6,-4,baseline,P-JUS-CKGL,240,0,60,0,0.1065,
WELL-00001_20170226130146,WELL-00001,7,6,-4,baseline,P-MON-CKP,240,0,60,0,0.2169,
