bed,group,instance,well,folder_label,method,delta,n_stream_windows,n_usable_variables,first_fault_window,alarm_window,alarm_subgroup,alarm_label,outcome,delay_windows,max_log10_martingale,refusal
aligned,aligned,WELL-00001_20140124083303,WELL-00001,1,clock,0.01,3,2.0,13.0,11.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00001_20140124083303,WELL-00001,1,clock,0.05,3,2.0,13.0,11.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00001_20140124083303,WELL-00001,1,conformal,0.01,3,2.0,13.0,11.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00001_20140124083303,WELL-00001,1,conformal,0.05,3,2.0,13.0,11.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00001_20140124083303,WELL-00001,1,reversed,0.01,3,2.0,,,,,none,,-0.301,
aligned,aligned,WELL-00001_20140124083303,WELL-00001,1,reversed,0.05,3,2.0,,,,,none,,-0.301,
aligned,aligned,WELL-00001_20140124083303,WELL-00001,1,worst_baseline,,3,2.0,13.0,11.0,,0.0,false_alarm,,,
aligned,aligned,WELL-00001_20170226130146,WELL-00001,7,clock,0.01,3,5.0,10.0,8.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00001_20170226130146,WELL-00001,7,clock,0.05,3,5.0,10.0,8.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00001_20170226130146,WELL-00001,7,conformal,0.01,3,5.0,10.0,10.0,1.0,1.0,detection,0.0,11.7124,
aligned,aligned,WELL-00001_20170226130146,WELL-00001,7,conformal,0.05,3,5.0,10.0,10.0,0.0,1.0,detection,0.0,11.7124,
aligned,aligned,WELL-00001_20170226130146,WELL-00001,7,reversed,0.01,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00001_20170226130146,WELL-00001,7,reversed,0.05,3,5.0,,,,,none,,-0.301,
aligned,aligned,WELL-00001_20170226130146,WELL-00001,7,worst_baseline,,3,5.0,10.0,10.0,,1.0,detection,0.0,,
aligned,aligned,WELL-00002_20140212160333,WELL-00002,6,clock,0.01,3,2.0,5.0,3.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00002_20140212160333,WELL-00002,6,clock,0.05,3,2.0,5.0,3.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00002_20140212160333,WELL-00002,6,conformal,0.01,3,2.0,5.0,5.0,32.0,1.0,detection,0.0,8.5118,
aligned,aligned,WELL-00002_20140212160333,WELL-00002,6,conformal,0.05,3,2.0,5.0,5.0,30.0,1.0,detection,0.0,8.5118,
aligned,aligned,WELL-00002_20140212160333,WELL-00002,6,reversed,0.01,3,2.0,,,,,none,,1.181,
aligned,aligned,WELL-00002_20140212160333,WELL-00002,6,reversed,0.05,3,2.0,,,,,none,,1.181,
aligned,aligned,WELL-00002_20140212160333,WELL-00002,6,worst_baseline,,3,2.0,5.0,5.0,,1.0,detection,0.0,,
aligned,aligned,WELL-00006_20170731170930,WELL-00006,1,clock,0.01,3,4.0,16.0,14.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00006_20170731170930,WELL-00006,1,clock,0.05,3,4.0,16.0,14.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00006_20170731170930,WELL-00006,1,conformal,0.01,3,4.0,16.0,14.0,3.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00006_20170731170930,WELL-00006,1,conformal,0.05,3,4.0,16.0,14.0,2.0,0.0,false_alarm,,182.5825,
aligned,aligned,WELL-00006_20170731170930,WELL-00006,1,reversed,0.01,3,4.0,,,,,none,,-0.301,
aligned,aligned,WELL-00006_20170731170930,WELL-00006,1,reversed,0.05,3,4.0,,,,,none,,-0.301,
aligned,aligned,WELL-00006_20170731170930,WELL-00006,1,worst_baseline,,3,4.0,16.0,14.0,,0.0,false_alarm,,,
