bed,group,delta,seed,n_instances,alarm_fraction
aligned,aligned,0.01,0,48,0.0
aligned,aligned,0.01,1,48,0.0
aligned,aligned,0.01,2,48,0.0
aligned,aligned,0.01,3,48,0.0
aligned,aligned,0.01,4,48,0.0
aligned,aligned,0.01,5,48,0.0
aligned,aligned,0.01,6,48,0.0
aligned,aligned,0.01,7,48,0.0
aligned,aligned,0.01,8,48,0.0
aligned,aligned,0.01,9,48,0.0
aligned,aligned,0.05,0,48,0.0
aligned,aligned,0.05,1,48,0.0
aligned,aligned,0.05,2,48,0.0
aligned,aligned,0.05,3,48,0.0
aligned,aligned,0.05,4,48,0.0
aligned,aligned,0.05,5,48,0.0
aligned,aligned,0.05,6,48,0.0
aligned,aligned,0.05,7,48,0.0
aligned,aligned,0.05,8,48,0.0
aligned,aligned,0.05,9,48,0.0
own_history,mixed,0.01,0,53,0.0
own_history,mixed,0.01,1,53,0.0
own_history,mixed,0.01,2,53,0.0
own_history,mixed,0.01,3,53,0.0
own_history,mixed,0.01,4,53,0.0
own_history,mixed,0.01,5,53,0.0
own_history,mixed,0.01,6,53,0.0
own_history,mixed,0.01,7,53,0.0
own_history,mixed,0.01,8,53,0.0
own_history,mixed,0.01,9,53,0.0
own_history,mixed,0.05,0,53,0.0
own_history,mixed,0.05,1,53,0.0
own_history,mixed,0.05,2,53,0.0
own_history,mixed,0.05,3,53,0.0
own_history,mixed,0.05,4,53,0.0
own_history,mixed,0.05,5,53,0.0189
own_history,mixed,0.05,6,53,0.0
own_history,mixed,0.05,7,53,0.0
own_history,mixed,0.05,8,53,0.0
own_history,mixed,0.05,9,53,0.0
own_history,normal,0.01,0,537,0.0
own_history,normal,0.01,1,537,0.0
own_history,normal,0.01,2,537,0.0
own_history,normal,0.01,3,537,0.0
own_history,normal,0.01,4,537,0.0
own_history,normal,0.01,5,537,0.0
own_history,normal,0.01,6,537,0.0
own_history,normal,0.01,7,537,0.0
own_history,normal,0.01,8,537,0.0
own_history,normal,0.01,9,537,0.0
own_history,normal,0.05,0,537,0.0
own_history,normal,0.05,1,537,0.0
own_history,normal,0.05,2,537,0.0019
own_history,normal,0.05,3,537,0.0
own_history,normal,0.05,4,537,0.0
own_history,normal,0.05,5,537,0.0
own_history,normal,0.05,6,537,0.0
own_history,normal,0.05,7,537,0.0019
own_history,normal,0.05,8,537,0.0
own_history,normal,0.05,9,537,0.0
own_history,positive_baseline,0.01,0,54,0.0
own_history,positive_baseline,0.01,1,54,0.0
own_history,positive_baseline,0.01,2,54,0.0
own_history,positive_baseline,0.01,3,54,0.0
own_history,positive_baseline,0.01,4,54,0.0
own_history,positive_baseline,0.01,5,54,0.0
own_history,positive_baseline,0.01,6,54,0.0
own_history,positive_baseline,0.01,7,54,0.0
own_history,positive_baseline,0.01,8,54,0.0
own_history,positive_baseline,0.01,9,54,0.0
own_history,positive_baseline,0.05,0,54,0.0
own_history,positive_baseline,0.05,1,54,0.0
own_history,positive_baseline,0.05,2,54,0.0
own_history,positive_baseline,0.05,3,54,0.0
own_history,positive_baseline,0.05,4,54,0.0
own_history,positive_baseline,0.05,5,54,0.0
own_history,positive_baseline,0.05,6,54,0.0
own_history,positive_baseline,0.05,7,54,0.0
own_history,positive_baseline,0.05,8,54,0.0
own_history,positive_baseline,0.05,9,54,0.0185
