bed,group,method,delta,n_instances,n_refused,n_scored,n_alarm,n_false_alarm,n_detection,alarm_rate,far,detect,detect_post0,detect_post1,median_delay_windows,median_max_log10_martingale
aligned,aligned,clock,0.01,48,0,48,48.0,48.0,0.0,1.0,1.0,0.0,0.0,0.0,,182.5825
aligned,aligned,clock,0.05,48,0,48,48.0,48.0,0.0,1.0,1.0,0.0,0.0,0.0,,182.5825
aligned,aligned,conformal,0.01,48,0,48,39.0,22.0,17.0,0.8125,0.4583,0.3542,0.3333,0.3542,0.0,32.8024
aligned,aligned,conformal,0.05,48,0,48,41.0,23.0,18.0,0.8542,0.4792,0.375,0.3333,0.375,0.0,32.8024
aligned,aligned,permutation,0.01,48,0,48,,,,0.0,,,,,,
aligned,aligned,permutation,0.05,48,0,48,,,,0.0,,,,,,
aligned,aligned,reversed,0.01,48,0,48,3.0,0.0,0.0,0.0625,,,,,,-0.2873
aligned,aligned,reversed,0.05,48,0,48,4.0,0.0,0.0,0.0833,,,,,,-0.2873
aligned,aligned,worst_baseline,,48,0,48,43.0,25.0,18.0,0.8958,0.5208,0.375,0.3333,0.375,0.0,
own_history,mixed,clock,0.01,53,0,53,53.0,49.0,4.0,1.0,0.9245,0.0755,,,0.0,4076.3263
own_history,mixed,clock,0.05,53,0,53,53.0,49.0,4.0,1.0,0.9245,0.0755,,,0.0,4076.3263
own_history,mixed,conformal,0.01,53,0,53,53.0,38.0,15.0,1.0,0.717,0.283,,,1.0,868.699
own_history,mixed,conformal,0.05,53,0,53,53.0,38.0,15.0,1.0,0.717,0.283,,,0.0,868.699
own_history,mixed,permutation,0.01,53,0,53,,,,0.0,,,,,,
own_history,mixed,permutation,0.05,53,0,53,,,,0.0019,,,,,,
own_history,mixed,reversed,0.01,53,0,53,3.0,0.0,0.0,0.0566,,,,,,-0.2957
own_history,mixed,reversed,0.05,53,0,53,4.0,0.0,0.0,0.0755,,,,,,-0.2957
own_history,mixed,worst_baseline,,53,0,53,51.0,38.0,13.0,0.9623,0.717,0.2453,,,0.0,
own_history,normal,clock,0.01,538,1,537,537.0,537.0,0.0,1.0,1.0,,,,,50.6631
own_history,normal,clock,0.05,538,1,537,537.0,537.0,0.0,1.0,1.0,,,,,50.6631
own_history,normal,conformal,0.01,538,1,537,397.0,397.0,0.0,0.7393,0.7393,,,,,13.8863
own_history,normal,conformal,0.05,538,1,537,410.0,410.0,0.0,0.7635,0.7635,,,,,13.8863
own_history,normal,permutation,0.01,537,0,537,,,,0.0,,,,,,
own_history,normal,permutation,0.05,537,0,537,,,,0.0004,,,,,,
own_history,normal,reversed,0.01,538,1,537,59.0,0.0,0.0,0.1099,,,,,,-0.301
own_history,normal,reversed,0.05,538,1,537,71.0,0.0,0.0,0.1322,,,,,,-0.301
own_history,normal,worst_baseline,,538,1,537,361.0,361.0,0.0,0.6723,0.6723,,,,,
own_history,positive_baseline,clock,0.01,54,0,54,54.0,0.0,54.0,1.0,,,,,,50.6631
own_history,positive_baseline,clock,0.05,54,0,54,54.0,0.0,54.0,1.0,,,,,,50.6631
own_history,positive_baseline,conformal,0.01,54,0,54,31.0,0.0,31.0,0.5741,,,,,,5.8375
own_history,positive_baseline,conformal,0.05,54,0,54,33.0,0.0,33.0,0.6111,,,,,,5.8375
own_history,positive_baseline,permutation,0.01,54,0,54,,,,0.0,,,,,,
own_history,positive_baseline,permutation,0.05,54,0,54,,,,0.0018,,,,,,
own_history,positive_baseline,reversed,0.01,54,0,54,3.0,0.0,0.0,0.0556,,,,,,-0.2784
own_history,positive_baseline,reversed,0.05,54,0,54,4.0,0.0,0.0,0.0741,,,,,,-0.2784
own_history,positive_baseline,worst_baseline,,54,0,54,31.0,0.0,31.0,0.5741,,,,,,
own_history,short,clock,0.01,468,468,0,0.0,0.0,0.0,,,,,,,
own_history,short,clock,0.05,468,468,0,0.0,0.0,0.0,,,,,,,
own_history,short,conformal,0.01,468,468,0,0.0,0.0,0.0,,,,,,,
own_history,short,conformal,0.05,468,468,0,0.0,0.0,0.0,,,,,,,
own_history,short,reversed,0.01,468,468,0,0.0,0.0,0.0,,,,,,,
own_history,short,reversed,0.05,468,468,0,0.0,0.0,0.0,,,,,,,
own_history,short,worst_baseline,,468,468,0,0.0,0.0,0.0,,,,,,,
