window_key,instance,well,folder_label,window_index,onset_offset,role,design_label,label,transient_only,onset_kind,classes,window_start,fold
0,WELL-00001_20140124083303,WELL-00001,1,8,-5,baseline,0,0,False,transient,0,2014-01-24T16:46:39+00:00,4
1,WELL-00001_20140124083303,WELL-00001,1,9,-4,baseline,0,0,False,transient,0,2014-01-24T17:46:39+00:00,4
2,WELL-00001_20140124083303,WELL-00001,1,10,-3,baseline,0,0,False,transient,0,2014-01-24T18:46:39+00:00,4
3,WELL-00001_20140124083303,WELL-00001,1,11,-2,pre,0,0,False,transient,0,2014-01-24T19:46:39+00:00,4
4,WELL-00001_20140124083303,WELL-00001,1,13,0,post0,1,1,True,transient,101,2014-01-24T21:46:39+00:00,4
5,WELL-00001_20140124083303,WELL-00001,1,14,1,post1,1,1,True,transient,101,2014-01-24T22:46:39+00:00,4
6,WELL-00001_20170226130146,WELL-00001,7,5,-5,baseline,0,0,False,transient,0,2017-02-26T18:24:16+00:00,4
7,WELL-00001_20170226130146,WELL-00001,7,6,-4,baseline,0,0,False,transient,0,2017-02-26T19:24:16+00:00,4
8,WELL-00001_20170226130146,WELL-00001,7,7,-3,baseline,0,0,False,transient,0,2017-02-26T20:24:16+00:00,4
9,WELL-00001_20170226130146,WELL-00001,7,8,-2,pre,0,0,False,transient,0,2017-02-26T21:24:16+00:00,4
10,WELL-00001_20170226130146,WELL-00001,7,10,0,post0,1,1,True,transient,107,2017-02-26T23:24:16+00:00,4
11,WELL-00001_20170226130146,WELL-00001,7,11,1,post1,1,1,True,transient,107,2017-02-27T00:24:16+00:00,4
12,WELL-00002_20140212160333,WELL-00002,6,0,-5,baseline,0,0,False,transient,0,2014-02-12T16:13:50+00:00,3
13,WELL-00002_20140212160333,WELL-00002,6,1,-4,baseline,0,0,False,transient,0,2014-02-12T17:13:50+00:00,3
14,WELL-00002_20140212160333,WELL-00002,6,2,-3,baseline,0,0,False,transient,0,2014-02-12T18:13:50+00:00,3
15,WELL-00002_20140212160333,WELL-00002,6,3,-2,pre,0,0,False,transient,0,2014-02-12T19:13:50+00:00,3
16,WELL-00002_20140212160333,WELL-00002,6,5,0,post0,1,1,False,transient,6;106,2014-02-12T21:13:50+00:00,3
17,WELL-00002_20140212160333,WELL-00002,6,6,1,post1,1,1,False,transient,6,2014-02-12T22:13:50+00:00,3
18,WELL-00006_20170731170930,WELL-00006,1,11,-5,baseline,0,0,False,transient,0,2017-08-01T04:32:22+00:00,2
19,WELL-00006_20170731170930,WELL-00006,1,12,-4,baseline,0,0,False,transient,0,2017-08-01T05:32:22+00:00,2
20,WELL-00006_20170731170930,WELL-00006,1,13,-3,baseline,0,0,False,transient,0,2017-08-01T06:32:22+00:00,2
21,WELL-00006_20170731170930,WELL-00006,1,14,-2,pre,0,0,False,transient,0,2017-08-01T07:32:22+00:00,2
22,WELL-00006_20170731170930,WELL-00006,1,16,0,post0,1,1,True,transient,101,2017-08-01T09:32:22+00:00,2
23,WELL-00006_20170731170930,WELL-00006,1,17,1,post1,1,1,True,transient,101,2017-08-01T10:32:22+00:00,2
24,WELL-00006_20180617190257,WELL-00006,1,7,-5,baseline,0,0,False,transient,0,2018-06-18T03:01:46+00:00,2
25,WELL-00006_20180617190257,WELL-00006,1,8,-4,baseline,0,0,False,transient,0,2018-06-18T04:01:46+00:00,2
26,WELL-00006_20180617190257,WELL-00006,1,9,-3,baseline,0,0,False,transient,0,2018-06-18T05:01:46+00:00,2
27,WELL-00006_20180617190257,WELL-00006,1,10,-2,pre,0,0,False,transient,0,2018-06-18T06:01:46+00:00,2
28,WELL-00006_20180617190257,WELL-00006,1,12,0,post0,1,1,True,transient,101,2018-06-18T08:01:46+00:00,2
29,WELL-00006_20180617190257,WELL-00006,1,13,1,post1,1,1,True,transient,101,2018-06-18T09:01:46+00:00,2
30,WELL-00014_20160304155906,WELL-00014,9,1,-5,baseline,0,0,False,transient,0,2016-03-04T17:02:09+00:00,2
31,WELL-00014_20160304155906,WELL-00014,9,2,-4,baseline,0,0,False,transient,0,2016-03-04T18:02:09+00:00,2
32,WELL-00014_20160304155906,WELL-00014,9,3,-3,baseline,0,0,False,transient,0,2016-03-04T19:02:09+00:00,2
33,WELL-00014_20160304155906,WELL-00014,9,4,-2,pre,0,0,False,transient,0,2016-03-04T20:02:09+00:00,2
34,WELL-00014_20160304155906,WELL-00014,9,6,0,post0,1,1,True,transient,109,2016-03-04T22:02:09+00:00,2
35,WELL-00014_20160304155906,WELL-00014,9,7,1,post1,1,1,True,transient,109,2016-03-04T23:02:09+00:00,2
36,WELL-00014_20160306070000,WELL-00014,9,0,-5,baseline,0,0,False,transient,0,2016-03-06T07:01:51+00:00,2
37,WELL-00014_20160306070000,WELL-00014,9,1,-4,baseline,0,0,False,transient,0,2016-03-06T08:01:51+00:00,2
38,WELL-00014_20160306070000,WELL-00014,9,2,-3,baseline,0,0,False,transient,0,2016-03-06T09:01:51+00:00,2
39,WELL-00014_20160306070000,WELL-00014,9,3,-2,pre,0,0,False,transient,0,2016-03-06T10:01:51+00:00,2
40,WELL-00014_20160306070000,WELL-00014,9,5,0,post0,1,1,True,transient,109,2016-03-06T12:01:51+00:00,2
41,WELL-00014_20160306070000,WELL-00014,9,6,1,post1,1,1,True,transient,109,2016-03-06T13:01:51+00:00,2
42,WELL-00019_20120601165020,WELL-00019,8,24,-5,baseline,0,0,False,transient,0,2012-06-02T17:23:31+00:00,3
43,WELL-00019_20120601165020,WELL-00019,8,25,-4,baseline,0,0,False,transient,0,2012-06-02T18:23:31+00:00,3
44,WELL-00019_20120601165020,WELL-00019,8,26,-3,baseline,0,0,False,transient,0,2012-06-02T19:23:31+00:00,3
45,WELL-00019_20120601165020,WELL-00019,8,27,-2,pre,0,0,False,transient,0,2012-06-02T20:23:31+00:00,3
46,WELL-00019_20120601165020,WELL-00019,8,29,0,post0,1,1,True,transient,108,2012-06-02T22:23:31+00:00,3
47,WELL-00019_20120601165020,WELL-00019,8,30,1,post1,1,1,True,transient,108,2012-06-02T23:23:31+00:00,3
48,WELL-00019_20141117190526,WELL-00019,8,7,-5,baseline,0,0,False,transient,0,2014-11-18T02:27:40+00:00,3
49,WELL-00019_20141117190526,WELL-00019,8,8,-4,baseline,0,0,False,transient,0,2014-11-18T03:27:40+00:00,3
50,WELL-00019_20141117190526,WELL-00019,8,9,-3,baseline,0,0,False,transient,0,2014-11-18T04:27:40+00:00,3
51,WELL-00019_20141117190526,WELL-00019,8,10,-2,pre,0,0,False,transient,0,2014-11-18T05:27:40+00:00,3
52,WELL-00019_20141117190526,WELL-00019,8,12,0,post0,1,1,True,transient,108,2014-11-18T07:27:40+00:00,3
53,WELL-00019_20141117190526,WELL-00019,8,13,1,post1,1,1,True,transient,108,2014-11-18T08:27:40+00:00,3
54,WELL-00019_20150614025713,WELL-00019,8,10,-5,baseline,0,0,False,transient,0,2015-06-14T13:33:14+00:00,3
55,WELL-00019_20150614025713,WELL-00019,8,11,-4,baseline,0,0,False,transient,0,2015-06-14T14:33:14+00:00,3
56,WELL-00019_20150614025713,WELL-00019,8,12,-3,baseline,0,0,False,transient,0,2015-06-14T15:33:14+00:00,3
57,WELL-00019_20150614025713,WELL-00019,8,13,-2,pre,0,0,False,transient,0,2015-06-14T16:33:14+00:00,3
58,WELL-00019_20150614025713,WELL-00019,8,15,0,post0,1,1,True,transient,108,2015-06-14T18:33:14+00:00,3
59,WELL-00019_20150614025713,WELL-00019,8,16,1,post1,1,1,True,transient,108,2015-06-14T19:33:14+00:00,3
60,WELL-00019_20210617032654,WELL-00019,8,10,-5,baseline,0,0,False,transient,0,2021-06-17T13:38:56+00:00,3
