tool,design,split,fold,variant,n_windows,n_scored,n_refused,n_refused_by_design,refused_frac,roc_auc,pr_auc,precision_at_recall_50,n_pos,n_neg,refusal
mad,pooled-cross-well,well,0,all,1688,1688,0,0,0.0,0.5866,0.623,0.7835,691,997,
mad,pooled-cross-well,well,0,no_folder9,1593,1593,0,0,0.0,0.5979,0.6545,0.8492,691,902,
mad,pooled-cross-well,well,0,no_transients,1118,1118,0,0,0.0,0.0719,0.0606,0.109,121,997,
mad,pooled-cross-well,well,0,no_folder9_no_transients,1023,1023,0,0,0.0,0.076,0.0673,0.1192,121,902,
regime,pooled-cross-well,well,0,all,1688,1663,25,0,0.0148,0.5962,0.6919,0.8722,666,997,
regime,pooled-cross-well,well,0,no_folder9,1593,1568,25,0,0.0157,0.5968,0.7032,0.8722,666,902,
regime,pooled-cross-well,well,0,no_transients,1118,1118,0,0,0.0,0.062,0.0917,0.1091,121,997,
regime,pooled-cross-well,well,0,no_folder9_no_transients,1023,1023,0,0,0.0,0.0651,0.0976,0.1193,121,902,
population,pooled-cross-well,well,0,all,1688,0,1688,0,1.0,,,,0,0,every window in this fold was refused
population,pooled-cross-well,well,0,no_folder9,1593,0,1593,0,1.0,,,,0,0,every window in this fold was refused
population,pooled-cross-well,well,0,no_transients,1118,0,1118,0,1.0,,,,0,0,every window in this fold was refused
population,pooled-cross-well,well,0,no_folder9_no_transients,1023,0,1023,0,1.0,,,,0,0,every window in this fold was refused
spc,pooled-cross-well,well,0,all,1688,1688,0,0,0.0,0.4816,0.5,0.4979,691,997,
spc,pooled-cross-well,well,0,no_folder9,1593,1593,0,0,0.0,0.5022,0.5574,0.5714,691,902,
spc,pooled-cross-well,well,0,no_transients,1118,1118,0,0,0.0,0.1079,0.0657,0.1082,121,997,
spc,pooled-cross-well,well,0,no_folder9_no_transients,1023,1023,0,0,0.0,0.1163,0.0838,0.1183,121,902,
mspc_t2,pooled-cross-well,well,0,all,1688,54,1634,0,0.968,0.7347,0.711,0.8667,24,30,
mspc_t2,pooled-cross-well,well,0,no_folder9,1593,39,1554,0,0.9755,0.875,0.9506,1.0,24,15,
mspc_t2,pooled-cross-well,well,0,no_transients,1118,31,1087,0,0.9723,0.9667,0.5,0.5,1,30,
mspc_t2,pooled-cross-well,well,0,no_folder9_no_transients,1023,16,1007,0,0.9844,1.0,1.0,1.0,1,15,
mspc_spe,pooled-cross-well,well,0,all,1688,54,1634,0,0.968,0.8264,0.8423,1.0,24,30,
mspc_spe,pooled-cross-well,well,0,no_folder9,1593,39,1554,0,0.9755,1.0,1.0,1.0,24,15,
mspc_spe,pooled-cross-well,well,0,no_transients,1118,31,1087,0,0.9723,1.0,1.0,1.0,1,30,
mspc_spe,pooled-cross-well,well,0,no_folder9_no_transients,1023,16,1007,0,0.9844,1.0,1.0,1.0,1,15,
iforest,pooled-cross-well,well,0,all,1688,1688,0,0,0.0,0.4423,0.4393,0.4108,691,997,
iforest,pooled-cross-well,well,0,no_folder9,1593,1593,0,0,0.0,0.4741,0.5292,0.4354,691,902,
iforest,pooled-cross-well,well,0,no_transients,1118,1118,0,0,0.0,0.5683,0.1273,0.1578,121,997,
iforest,pooled-cross-well,well,0,no_folder9_no_transients,1023,1023,0,0,0.0,0.6201,0.1785,0.2054,121,902,
mad,"pooled-cross-well, own-history windows",well,0,all,900,900,0,0,0.0,0.6298,0.7659,0.8212,573,327,
mad,"pooled-cross-well, own-history windows",well,0,no_folder9,835,835,0,0,0.0,0.6469,0.8015,0.8809,573,262,
