tool,design,split,fold,window_key,score
clock,own-history,own-history,0,3,0
clock,own-history,own-history,0,4,1
clock,own-history,own-history,0,5,2
clock,own-history,own-history,0,6,3
clock,own-history,own-history,0,7,4
clock,own-history,own-history,0,8,5
clock,own-history,own-history,0,9,6
clock,own-history,own-history,0,10,7
clock,own-history,own-history,0,11,8
clock,own-history,own-history,0,12,9
clock,own-history,own-history,0,13,10
clock,own-history,own-history,0,14,11
clock,own-history,own-history,0,15,12
clock,own-history,own-history,0,19,0
clock,own-history,own-history,0,23,0
clock,own-history,own-history,0,27,0
clock,own-history,own-history,0,31,0
clock,own-history,own-history,0,35,0
clock,own-history,own-history,0,39,0
clock,own-history,own-history,0,43,0
clock,own-history,own-history,0,47,0
clock,own-history,own-history,0,51,0
clock,own-history,own-history,0,55,0
clock,own-history,own-history,0,59,0
clock,own-history,own-history,0,63,0
clock,own-history,own-history,0,67,0
clock,own-history,own-history,0,71,0
clock,own-history,own-history,0,75,0
clock,own-history,own-history,0,79,0
clock,own-history,own-history,0,83,0
clock,own-history,own-history,0,84,1
clock,own-history,own-history,0,85,2
clock,own-history,own-history,0,86,3
clock,own-history,own-history,0,87,4
clock,own-history,own-history,0,88,5
clock,own-history,own-history,0,89,6
clock,own-history,own-history,0,90,7
clock,own-history,own-history,0,91,8
clock,own-history,own-history,0,92,9
clock,own-history,own-history,0,93,10
clock,own-history,own-history,0,94,11
clock,own-history,own-history,0,95,12
clock,own-history,own-history,0,96,13
clock,own-history,own-history,0,97,14
clock,own-history,own-history,0,98,15
clock,own-history,own-history,0,99,16
clock,own-history,own-history,0,130,0
clock,own-history,own-history,0,136,0
clock,own-history,own-history,0,137,1
clock,own-history,own-history,0,147,0
clock,own-history,own-history,0,148,1
clock,own-history,own-history,0,152,0
clock,own-history,own-history,0,156,0
clock,own-history,own-history,0,160,0
clock,own-history,own-history,0,164,0
clock,own-history,own-history,0,168,0
clock,own-history,own-history,0,172,0
clock,own-history,own-history,0,176,0
clock,own-history,own-history,0,180,0
clock,own-history,own-history,0,184,0
clock,own-history,own-history,0,188,0
clock,own-history,own-history,0,192,0
clock,own-history,own-history,0,196,0
clock,own-history,own-history,0,200,0
clock,own-history,own-history,0,204,0
clock,own-history,own-history,0,208,0
clock,own-history,own-history,0,212,0
clock,own-history,own-history,0,216,0
clock,own-history,own-history,0,220,0
clock,own-history,own-history,0,224,0
clock,own-history,own-history,0,228,0
clock,own-history,own-history,0,232,0
clock,own-history,own-history,0,236,0
clock,own-history,own-history,0,240,0
clock,own-history,own-history,0,244,0
clock,own-history,own-history,0,248,0
clock,own-history,own-history,0,252,0
clock,own-history,own-history,0,256,0
clock,own-history,own-history,0,260,0
clock,own-history,own-history,0,264,0
clock,own-history,own-history,0,268,0
clock,own-history,own-history,0,272,0
clock,own-history,own-history,0,276,0
clock,own-history,own-history,0,280,0
clock,own-history,own-history,0,284,0
clock,own-history,own-history,0,288,0
clock,own-history,own-history,0,292,0
clock,own-history,own-history,0,296,0
clock,own-history,own-history,0,300,0
clock,own-history,own-history,0,304,0
clock,own-history,own-history,0,308,0
clock,own-history,own-history,0,312,0
