window_key,instance,well,folder_label,window_index,window_start,label,transient_only,state_mode,n_variables_present
0,WELL-00001_20140124083303,WELL-00001,1,1,2014-01-24T09:33:03+00:00,0,False,0,6
1,WELL-00001_20140124083303,WELL-00001,1,2,2014-01-24T10:33:03+00:00,0,False,0,6
2,WELL-00001_20140124083303,WELL-00001,1,3,2014-01-24T11:33:03+00:00,0,False,0,6
3,WELL-00001_20140124083303,WELL-00001,1,4,2014-01-24T12:33:03+00:00,0,False,0,6
4,WELL-00001_20140124083303,WELL-00001,1,5,2014-01-24T13:33:03+00:00,0,False,0,6
5,WELL-00001_20140124083303,WELL-00001,1,6,2014-01-24T14:33:03+00:00,0,False,0,6
6,WELL-00001_20140124083303,WELL-00001,1,7,2014-01-24T15:33:03+00:00,0,False,0,6
7,WELL-00001_20140124083303,WELL-00001,1,8,2014-01-24T16:33:03+00:00,0,False,0,6
8,WELL-00001_20140124083303,WELL-00001,1,9,2014-01-24T17:33:03+00:00,0,False,0,6
9,WELL-00001_20140124083303,WELL-00001,1,10,2014-01-24T18:33:03+00:00,0,False,0,6
10,WELL-00001_20140124083303,WELL-00001,1,11,2014-01-24T19:33:03+00:00,0,False,0,6
11,WELL-00001_20140124083303,WELL-00001,1,12,2014-01-24T20:33:03+00:00,0,False,0,6
12,WELL-00001_20140124083303,WELL-00001,1,13,2014-01-24T21:33:03+00:00,1,True,0,6
13,WELL-00001_20140124083303,WELL-00001,1,14,2014-01-24T22:33:03+00:00,1,True,0,6
14,WELL-00001_20140124083303,WELL-00001,1,15,2014-01-24T23:33:03+00:00,1,False,0,6
15,WELL-00001_20140124083303,WELL-00001,1,16,2014-01-25T00:33:03+00:00,1,False,0,6
16,WELL-00001_20170201010207,WELL-00001,0,1,2017-02-01T02:02:07+00:00,0,False,0,6
17,WELL-00001_20170201010207,WELL-00001,0,2,2017-02-01T03:02:07+00:00,0,False,0,6
18,WELL-00001_20170201010207,WELL-00001,0,3,2017-02-01T04:02:07+00:00,0,False,0,6
19,WELL-00001_20170201010207,WELL-00001,0,4,2017-02-01T05:02:07+00:00,0,False,0,6
20,WELL-00001_20170201060114,WELL-00001,0,1,2017-02-01T07:01:14+00:00,0,False,0,6
21,WELL-00001_20170201060114,WELL-00001,0,2,2017-02-01T08:01:14+00:00,0,False,0,6
22,WELL-00001_20170201060114,WELL-00001,0,3,2017-02-01T09:01:14+00:00,0,False,0,6
23,WELL-00001_20170201060114,WELL-00001,0,4,2017-02-01T10:01:14+00:00,0,False,0,6
24,WELL-00001_20170201110124,WELL-00001,0,1,2017-02-01T12:01:24+00:00,0,False,0,6
25,WELL-00001_20170201110124,WELL-00001,0,2,2017-02-01T13:01:24+00:00,0,False,0,6
26,WELL-00001_20170201110124,WELL-00001,0,3,2017-02-01T14:01:24+00:00,0,False,0,6
27,WELL-00001_20170201110124,WELL-00001,0,4,2017-02-01T15:01:24+00:00,0,False,0,6
28,WELL-00001_20170201160311,WELL-00001,0,1,2017-02-01T17:03:11+00:00,0,False,0,6
29,WELL-00001_20170201160311,WELL-00001,0,2,2017-02-01T18:03:11+00:00,0,False,0,6
30,WELL-00001_20170201160311,WELL-00001,0,3,2017-02-01T19:03:11+00:00,0,False,0,6
31,WELL-00001_20170201160311,WELL-00001,0,4,2017-02-01T20:03:11+00:00,0,False,0,6
32,WELL-00001_20170201210228,WELL-00001,0,1,2017-02-01T22:02:28+00:00,0,False,0,6
33,WELL-00001_20170201210228,WELL-00001,0,2,2017-02-01T23:02:28+00:00,0,False,0,6
34,WELL-00001_20170201210228,WELL-00001,0,3,2017-02-02T00:02:28+00:00,0,False,0,6
35,WELL-00001_20170201210228,WELL-00001,0,4,2017-02-02T01:02:28+00:00,0,False,0,6
36,WELL-00001_20170202020343,WELL-00001,0,1,2017-02-02T03:03:43+00:00,0,False,0,6
37,WELL-00001_20170202020343,WELL-00001,0,2,2017-02-02T04:03:43+00:00,0,False,0,6
38,WELL-00001_20170202020343,WELL-00001,0,3,2017-02-02T05:03:43+00:00,0,False,0,6
39,WELL-00001_20170202020343,WELL-00001,0,4,2017-02-02T06:03:43+00:00,0,False,0,6
40,WELL-00001_20170202070239,WELL-00001,0,1,2017-02-02T08:02:39+00:00,0,False,0,6
41,WELL-00001_20170202070239,WELL-00001,0,2,2017-02-02T09:02:39+00:00,0,False,0,6
42,WELL-00001_20170202070239,WELL-00001,0,3,2017-02-02T10:02:39+00:00,0,False,0,6
43,WELL-00001_20170202070239,WELL-00001,0,4,2017-02-02T11:02:39+00:00,0,False,0,6
44,WELL-00001_20170218000146,WELL-00001,0,1,2017-02-18T01:01:46+00:00,0,False,0,6
45,WELL-00001_20170218000146,WELL-00001,0,2,2017-02-18T02:01:46+00:00,0,False,0,6
46,WELL-00001_20170218000146,WELL-00001,0,3,2017-02-18T03:01:46+00:00,0,False,0,6
47,WELL-00001_20170218000146,WELL-00001,0,4,2017-02-18T04:01:46+00:00,0,False,0,6
48,WELL-00001_20170218050218,WELL-00001,0,1,2017-02-18T06:02:18+00:00,0,False,0,6
49,WELL-00001_20170218050218,WELL-00001,0,2,2017-02-18T07:02:18+00:00,0,False,0,6
50,WELL-00001_20170218050218,WELL-00001,0,3,2017-02-18T08:02:18+00:00,0,False,0,6
51,WELL-00001_20170218050218,WELL-00001,0,4,2017-02-18T09:02:18+00:00,0,False,0,6
52,WELL-00001_20170218100218,WELL-00001,0,1,2017-02-18T11:02:18+00:00,0,False,0,6
53,WELL-00001_20170218100218,WELL-00001,0,2,2017-02-18T12:02:18+00:00,0,False,0,6
54,WELL-00001_20170218100218,WELL-00001,0,3,2017-02-18T13:02:18+00:00,0,False,0,6
55,WELL-00001_20170218100218,WELL-00001,0,4,2017-02-18T14:02:18+00:00,0,False,0,6
56,WELL-00001_20170218150135,WELL-00001,0,1,2017-02-18T16:01:35+00:00,0,False,0,6
57,WELL-00001_20170218150135,WELL-00001,0,2,2017-02-18T17:01:35+00:00,0,False,0,6
58,WELL-00001_20170218150135,WELL-00001,0,3,2017-02-18T18:01:35+00:00,0,False,0,6
59,WELL-00001_20170218150135,WELL-00001,0,4,2017-02-18T19:01:35+00:00,0,False,0,6
60,WELL-00001_20170219010042,WELL-00001,0,1,2017-02-19T02:00:42+00:00,0,False,0,6
61,WELL-00001_20170219010042,WELL-00001,0,2,2017-02-19T03:00:42+00:00,0,False,0,6
62,WELL-00001_20170219010042,WELL-00001,0,3,2017-02-19T04:00:42+00:00,0,False,0,6
63,WELL-00001_20170219010042,WELL-00001,0,4,2017-02-19T05:00:42+00:00,0,False,0,6
64,WELL-00001_20170219060031,WELL-00001,0,1,2017-02-19T07:00:31+00:00,0,False,0,6
65,WELL-00001_20170219060031,WELL-00001,0,2,2017-02-19T08:00:31+00:00,0,False,0,6
66,WELL-00001_20170219060031,WELL-00001,0,3,2017-02-19T09:00:31+00:00,0,False,0,6
67,WELL-00001_20170219060031,WELL-00001,0,4,2017-02-19T10:00:31+00:00,0,False,0,6
68,WELL-00001_20170219110021,WELL-00001,0,1,2017-02-19T12:00:21+00:00,0,False,0,6
69,WELL-00001_20170219110021,WELL-00001,0,2,2017-02-19T13:00:21+00:00,0,False,0,6
70,WELL-00001_20170219110021,WELL-00001,0,3,2017-02-19T14:00:21+00:00,0,False,0,6
71,WELL-00001_20170219110021,WELL-00001,0,4,2017-02-19T15:00:21+00:00,0,False,0,6
72,WELL-00001_20170219160053,WELL-00001,0,1,2017-02-19T17:00:53+00:00,0,False,0,6
73,WELL-00001_20170219160053,WELL-00001,0,2,2017-02-19T18:00:53+00:00,0,False,0,6
74,WELL-00001_20170219160053,WELL-00001,0,3,2017-02-19T19:00:53+00:00,0,False,0,6
75,WELL-00001_20170219160053,WELL-00001,0,4,2017-02-19T20:00:53+00:00,0,False,0,6
76,WELL-00001_20170219210332,WELL-00001,0,1,2017-02-19T22:03:32+00:00,0,False,0,6
77,WELL-00001_20170219210332,WELL-00001,0,2,2017-02-19T23:03:32+00:00,0,False,0,6
78,WELL-00001_20170219210332,WELL-00001,0,3,2017-02-20T00:03:32+00:00,0,False,0,6
79,WELL-00001_20170219210332,WELL-00001,0,4,2017-02-20T01:03:32+00:00,0,False,0,6
80,WELL-00001_20170226130146,WELL-00001,7,1,2017-02-26T14:01:46+00:00,0,False,0,6
81,WELL-00001_20170226130146,WELL-00001,7,2,2017-02-26T15:01:46+00:00,0,False,0,6
82,WELL-00001_20170226130146,WELL-00001,7,3,2017-02-26T16:01:46+00:00,0,False,0,6
83,WELL-00001_20170226130146,WELL-00001,7,4,2017-02-26T17:01:46+00:00,0,False,0,6
84,WELL-00001_20170226130146,WELL-00001,7,5,2017-02-26T18:01:46+00:00,0,False,0,6
85,WELL-00001_20170226130146,WELL-00001,7,6,2017-02-26T19:01:46+00:00,0,False,0,6
86,WELL-00001_20170226130146,WELL-00001,7,7,2017-02-26T20:01:46+00:00,0,False,0,6
87,WELL-00001_20170226130146,WELL-00001,7,8,2017-02-26T21:01:46+00:00,0,False,0,6
88,WELL-00001_20170226130146,WELL-00001,7,9,2017-02-26T22:01:46+00:00,0,False,0,6
89,WELL-00001_20170226130146,WELL-00001,7,10,2017-02-26T23:01:46+00:00,1,True,0,6
90,WELL-00001_20170226130146,WELL-00001,7,11,2017-02-27T00:01:46+00:00,1,True,0,6
91,WELL-00001_20170226130146,WELL-00001,7,12,2017-02-27T01:01:46+00:00,1,True,0,6
92,WELL-00001_20170226130146,WELL-00001,7,13,2017-02-27T02:01:46+00:00,1,True,0,6
93,WELL-00001_20170226130146,WELL-00001,7,14,2017-02-27T03:01:46+00:00,1,True,0,6
94,WELL-00001_20170226130146,WELL-00001,7,15,2017-02-27T04:01:46+00:00,1,True,0,6
95,WELL-00001_20170226130146,WELL-00001,7,16,2017-02-27T05:01:46+00:00,1,True,0,6
96,WELL-00001_20170226130146,WELL-00001,7,17,2017-02-27T06:01:46+00:00,1,True,0,6
97,WELL-00001_20170226130146,WELL-00001,7,18,2017-02-27T07:01:46+00:00,1,True,0,6
98,WELL-00001_20170226130146,WELL-00001,7,19,2017-02-27T08:01:46+00:00,1,True,0,6
