instance,instance_source,well,folder_label,variable,role,unit_raw,unit_resolved,unit_canonical,n_rows,extent_s,coverage,valid_fraction,whole_life_distinct,n_gaps,gap_classes,longest_gap_s,n_good,n_uncertain,n_bad,unmapped_codes,clipped_fraction,censored,duplicate_timestamps,non_monotonic_positions,dst_transitions,edge_slack_s,flatline_verdict,flatline_fired_signals,flatline_signal_evidence,final_distinct,final_std,stall_s,ref_p99_change_interval_s,ref_p05_distinct,n_reference_windows,refusal_type,refusal_message
WELL-00001_20140124083303,REAL,WELL-00001,1,ESTADO-DHSV,MODE,,false,,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,ESTADO-M1,MODE,,false,,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,ESTADO-M2,MODE,,false,,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,ESTADO-PXO,MODE,,false,,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,ESTADO-SDV-GL,MODE,,false,,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,ESTADO-SDV-P,MODE,,false,,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,ESTADO-W1,MODE,,false,,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,ESTADO-W2,MODE,,false,,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,ESTADO-XO,MODE,,false,,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,LABEL_class,MODE,,false,,62068,62067,1.000000,0.941999,3,0,,,58468,0,3600,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,LABEL_state,MODE,,false,,62068,62067,1.000000,0.941999,1,0,,,58468,0,3600,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,P-ANULAR,PV,Pa,true,pascals,62068,62067,1.000000,1.000000,12050,0,,,62068,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 1s | distinct_value_count_vs_p05=1157 distinct values vs reference p05 1.0 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,1157,10386.6,0,1,1,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,P-JUS-CKGL,PV,Pa,true,pascals,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=no change inside window at all (span 3600s); cannot beat a p99 the tag never established; no reference history provided | distinct_value_count_vs_p05=1 distinct values vs reference p05 1.0 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,1,5.82157e-11,3600,,1,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,P-MON-CKP,PV,Pa,true,pascals,62068,62067,1.000000,1.000000,23424,0,,,62068,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 7s vs own p99 20s | distinct_value_count_vs_p05=472 distinct values vs reference p05 272.0 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,472,136.225,7,20,272,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,P-PDG,PV,Pa,true,pascals,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=no change inside window at all (span 3600s); cannot beat a p99 the tag never established; no reference history provided | distinct_value_count_vs_p05=1 distinct values vs reference p05 1.0 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,1,0,3600,,1,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,P-TPT,PV,Pa,true,pascals,62068,62067,1.000000,1.000000,11866,0,,,62068,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 1s | distinct_value_count_vs_p05=1250 distinct values vs reference p05 1.0 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,1250,8024.39,0,1,1,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,QGL,PV,m3/s,true,cubic meters per second,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=no change inside window at all (span 3600s); cannot beat a p99 the tag never established; no reference history provided | distinct_value_count_vs_p05=1 distinct values vs reference p05 1.0 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,1,0,3600,,1,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,T-JUS-CKP,PV,oC,true,degrees Celsius,62068,62067,1.000000,1.000000,28320,0,,,62068,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 15s | distinct_value_count_vs_p05=3601 distinct values vs reference p05 191.0 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,3601,0.0511166,0,15,191,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,T-PDG,PV,oC,true,degrees Celsius,62068,62067,1.000000,1.000000,1,0,,,62068,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=no change inside window at all (span 3600s); cannot beat a p99 the tag never established; no reference history provided | distinct_value_count_vs_p05=1 distinct values vs reference p05 1.0 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,1,0,3600,,1,16,,
WELL-00001_20140124083303,REAL,WELL-00001,1,T-TPT,PV,oC,true,degrees Celsius,62068,62067,1.000000,1.000000,5797,0,,,62068,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 2s | distinct_value_count_vs_p05=749 distinct values vs reference p05 392.0 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,749,0.0208007,0,2,392,16,,
WELL-00001_20170201010207,REAL,WELL-00001,0,ESTADO-DHSV,MODE,,false,,21474,21473,1.000000,1.000000,1,0,,,21474,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,4,,
WELL-00001_20170201010207,REAL,WELL-00001,0,ESTADO-M1,MODE,,false,,21474,21473,1.000000,1.000000,1,0,,,21474,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,4,,
WELL-00001_20170201010207,REAL,WELL-00001,0,ESTADO-M2,MODE,,false,,21474,21473,1.000000,1.000000,1,0,,,21474,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,4,,
WELL-00001_20170201010207,REAL,WELL-00001,0,ESTADO-PXO,MODE,,false,,21474,21473,1.000000,1.000000,1,0,,,21474,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,4,,
WELL-00001_20170201010207,REAL,WELL-00001,0,ESTADO-SDV-GL,MODE,,false,,21474,21473,1.000000,1.000000,1,0,,,21474,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,4,,
WELL-00001_20170201010207,REAL,WELL-00001,0,ESTADO-SDV-P,MODE,,false,,21474,21473,1.000000,1.000000,1,0,,,21474,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,4,,
WELL-00001_20170201010207,REAL,WELL-00001,0,ESTADO-W1,MODE,,false,,21474,21473,1.000000,1.000000,1,0,,,21474,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,4,,
WELL-00001_20170201010207,REAL,WELL-00001,0,ESTADO-W2,MODE,,false,,21474,21473,1.000000,1.000000,1,0,,,21474,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,4,,
