bed,record,fold,group,scoring,n_windows,n_stream,n_scored,n_refused,threshold,roc_auc,auc_refusal,first_fault_position,last_fault_position,n_pre,n_pre_fired,detected,delay_windows,n_consecutive_fault_fires,n_post,n_post_fired,recovered,refusal
3w_aligned,WELL-00001_20140124083303,WELL-00001,aligned,clock,6,3,3,0,2.0,1.0,,4.0,5.0,1.0,1.0,True,0.0,2.0,0.0,0.0,,
3w_aligned,WELL-00001_20140124083303,WELL-00001,aligned,differenced,6,3,3,0,393.2281,1.0,,4.0,5.0,1.0,0.0,True,0.0,2.0,0.0,0.0,,
3w_aligned,WELL-00001_20140124083303,WELL-00001,aligned,rolling,6,3,0,3,,,no scored stream window,4.0,5.0,,,,,,,,,"no threshold window scored: a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20140124083303,WELL-00001,aligned,static,6,3,3,0,6.2328,1.0,,4.0,5.0,1.0,1.0,True,0.0,2.0,0.0,0.0,,
3w_aligned,WELL-00001_20170226130146,WELL-00001,aligned,clock,6,3,3,0,2.0,1.0,,4.0,5.0,1.0,1.0,True,0.0,2.0,0.0,0.0,,
3w_aligned,WELL-00001_20170226130146,WELL-00001,aligned,differenced,6,3,3,0,36.5831,0.0,,4.0,5.0,1.0,1.0,True,1.0,1.0,0.0,0.0,,
3w_aligned,WELL-00001_20170226130146,WELL-00001,aligned,rolling,6,3,0,3,,,no scored stream window,4.0,5.0,,,,,,,,,"no threshold window scored: a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20170226130146,WELL-00001,aligned,static,6,3,3,0,2.7461,1.0,,4.0,5.0,1.0,1.0,True,0.0,2.0,0.0,0.0,,
3w_aligned,WELL-00002_20140212160333,WELL-00002,aligned,clock,6,3,3,0,2.0,1.0,,4.0,5.0,1.0,1.0,True,0.0,2.0,0.0,0.0,,
3w_aligned,WELL-00002_20140212160333,WELL-00002,aligned,differenced,6,3,3,0,5.5634,0.0,,4.0,5.0,1.0,0.0,False,,,0.0,0.0,,
3w_aligned,WELL-00002_20140212160333,WELL-00002,aligned,rolling,6,3,0,3,,,no scored stream window,4.0,5.0,,,,,,,,,"no threshold window scored: a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00002_20140212160333,WELL-00002,aligned,static,6,3,3,0,1.4432,1.0,,4.0,5.0,1.0,1.0,True,0.0,2.0,0.0,0.0,,
3w_aligned,WELL-00006_20170731170930,WELL-00006,aligned,clock,6,3,3,0,2.0,1.0,,4.0,5.0,1.0,1.0,True,0.0,2.0,0.0,0.0,,
3w_aligned,WELL-00006_20170731170930,WELL-00006,aligned,differenced,6,3,3,0,6.1454,1.0,,4.0,5.0,1.0,0.0,False,,,0.0,0.0,,
3w_aligned,WELL-00006_20170731170930,WELL-00006,aligned,rolling,6,3,0,3,,,no scored stream window,4.0,5.0,,,,,,,,,"no threshold window scored: a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
