bed,record,scoring,position,window_index,label,role,score,refusal
3w_aligned,WELL-00001_20140124083303,clock,0,8,0,threshold,0.0,
3w_aligned,WELL-00001_20140124083303,clock,1,9,0,threshold,1.0,
3w_aligned,WELL-00001_20140124083303,clock,2,10,0,threshold,2.0,
3w_aligned,WELL-00001_20140124083303,clock,3,11,0,stream,3.0,
3w_aligned,WELL-00001_20140124083303,clock,4,13,1,stream,4.0,
3w_aligned,WELL-00001_20140124083303,clock,5,14,1,stream,5.0,
3w_aligned,WELL-00001_20140124083303,differenced,0,8,0,threshold,3.195,
3w_aligned,WELL-00001_20140124083303,differenced,1,9,0,threshold,4.1002,
3w_aligned,WELL-00001_20140124083303,differenced,2,10,0,threshold,393.2281,
3w_aligned,WELL-00001_20140124083303,differenced,3,11,0,stream,393.2281,
3w_aligned,WELL-00001_20140124083303,differenced,4,13,1,stream,288829.7585,
3w_aligned,WELL-00001_20140124083303,differenced,5,14,1,stream,11104.8159,
3w_aligned,WELL-00001_20140124083303,rolling,0,8,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20140124083303,rolling,1,9,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20140124083303,rolling,2,10,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20140124083303,rolling,3,11,0,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20140124083303,rolling,4,13,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20140124083303,rolling,5,14,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20140124083303,static,0,8,0,threshold,2.6185,
3w_aligned,WELL-00001_20140124083303,static,1,9,0,threshold,2.6964,
3w_aligned,WELL-00001_20140124083303,static,2,10,0,threshold,6.2328,
3w_aligned,WELL-00001_20140124083303,static,3,11,0,stream,65.1323,
3w_aligned,WELL-00001_20140124083303,static,4,13,1,stream,3610.3717,
3w_aligned,WELL-00001_20140124083303,static,5,14,1,stream,4579.3763,
3w_aligned,WELL-00001_20170226130146,clock,0,5,0,threshold,0.0,
3w_aligned,WELL-00001_20170226130146,clock,1,6,0,threshold,1.0,
3w_aligned,WELL-00001_20170226130146,clock,2,7,0,threshold,2.0,
3w_aligned,WELL-00001_20170226130146,clock,3,8,0,stream,3.0,
3w_aligned,WELL-00001_20170226130146,clock,4,10,1,stream,4.0,
3w_aligned,WELL-00001_20170226130146,clock,5,11,1,stream,5.0,
3w_aligned,WELL-00001_20170226130146,differenced,0,5,0,threshold,36.5831,
3w_aligned,WELL-00001_20170226130146,differenced,1,6,0,threshold,23.9926,
3w_aligned,WELL-00001_20170226130146,differenced,2,7,0,threshold,3.0949,
3w_aligned,WELL-00001_20170226130146,differenced,3,8,0,stream,45.8654,
3w_aligned,WELL-00001_20170226130146,differenced,4,10,1,stream,3.2932,
3w_aligned,WELL-00001_20170226130146,differenced,5,11,1,stream,38.8314,
3w_aligned,WELL-00001_20170226130146,rolling,0,5,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20170226130146,rolling,1,6,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20170226130146,rolling,2,7,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20170226130146,rolling,3,8,0,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20170226130146,rolling,4,10,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20170226130146,rolling,5,11,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00001_20170226130146,static,0,5,0,threshold,2.7461,
3w_aligned,WELL-00001_20170226130146,static,1,6,0,threshold,1.9031,
3w_aligned,WELL-00001_20170226130146,static,2,7,0,threshold,2.5773,
3w_aligned,WELL-00001_20170226130146,static,3,8,0,stream,3.3564,
3w_aligned,WELL-00001_20170226130146,static,4,10,1,stream,4.0347,
3w_aligned,WELL-00001_20170226130146,static,5,11,1,stream,4.9275,
3w_aligned,WELL-00002_20140212160333,clock,0,0,0,threshold,0.0,
3w_aligned,WELL-00002_20140212160333,clock,1,1,0,threshold,1.0,
3w_aligned,WELL-00002_20140212160333,clock,2,2,0,threshold,2.0,
3w_aligned,WELL-00002_20140212160333,clock,3,3,0,stream,3.0,
3w_aligned,WELL-00002_20140212160333,clock,4,5,1,stream,4.0,
3w_aligned,WELL-00002_20140212160333,clock,5,6,1,stream,5.0,
3w_aligned,WELL-00002_20140212160333,differenced,0,0,0,threshold,5.5634,
3w_aligned,WELL-00002_20140212160333,differenced,1,1,0,threshold,3.3589,
3w_aligned,WELL-00002_20140212160333,differenced,2,2,0,threshold,3.3725,
3w_aligned,WELL-00002_20140212160333,differenced,3,3,0,stream,4.1103,
3w_aligned,WELL-00002_20140212160333,differenced,4,5,1,stream,3.5399,
3w_aligned,WELL-00002_20140212160333,differenced,5,6,1,stream,4.0651,
3w_aligned,WELL-00002_20140212160333,rolling,0,0,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00002_20140212160333,rolling,1,1,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00002_20140212160333,rolling,2,2,0,threshold,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00002_20140212160333,rolling,3,3,0,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00002_20140212160333,rolling,4,5,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00002_20140212160333,rolling,5,6,1,stream,,"a rolling baseline needs 3 windows before the scored window, and the threshold windows of this design are the instance's first three, which have no predecessors in the cache"
3w_aligned,WELL-00002_20140212160333,static,0,0,0,threshold,1.2924,
3w_aligned,WELL-00002_20140212160333,static,1,1,0,threshold,1.415,
3w_aligned,WELL-00002_20140212160333,static,2,2,0,threshold,1.4432,
3w_aligned,WELL-00002_20140212160333,static,3,3,0,stream,2.0911,
