bed,record,variable,scoring,reason,n_windows_unusable,n_windows_total
3w_aligned,WELL-00001_20140124083303,P-ANULAR,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20140124083303,P-JUS-CKGL,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20140124083303,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20140124083303,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20140124083303,P-ANULAR,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20140124083303,P-JUS-CKGL,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20140124083303,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20140124083303,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20170226130146,P-ANULAR,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20170226130146,P-JUS-CKGL,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20170226130146,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20170226130146,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00001_20170226130146,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00002_20140212160333,P-ANULAR,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00002_20140212160333,P-JUS-CKGL,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00002_20140212160333,P-MON-CKP,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00002_20140212160333,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00002_20140212160333,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00002_20140212160333,P-JUS-CKGL,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00002_20140212160333,P-MON-CKP,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00002_20140212160333,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00002_20140212160333,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20170731170930,P-ANULAR,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20170731170930,P-JUS-CKGL,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20170731170930,P-MON-CKP,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20170731170930,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20170731170930,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20170731170930,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20170731170930,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20180617190257,P-ANULAR,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20180617190257,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20180617190257,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20180617190257,P-ANULAR,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20180617190257,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00006_20180617190257,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00014_20160306070000,P-ANULAR,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00014_20160306070000,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00014_20160306070000,T-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00014_20160306070000,P-ANULAR,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00019_20120601165020,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00019_20120601165020,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00019_20141117190526,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00019_20141117190526,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00019_20150614025713,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00019_20150614025713,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00019_20210617032654,P-ANULAR,differenced,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00019_20210617032654,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00019_20210617032654,P-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00019_20210617032654,T-TPT,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00019_20210617032654,P-ANULAR,static,no finite minute median over the baseline windows,6,6
3w_aligned,WELL-00019_20210617032654,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00019_20210617032654,P-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00019_20210617032654,T-TPT,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00021_20180611011218,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00021_20180611011218,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00021_20190403013307,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00021_20190403013307,P-PDG,static,the scale over the baseline minutes is zero,6,6
3w_aligned,WELL-00022_20180802233838,P-PDG,differenced,the scale over the baseline minutes is zero,6,6
