bed,record,fold,group,position,window_index,window_start,label,role
3w_aligned,WELL-00001_20140124083303,WELL-00001,aligned,0,8,2014-01-24T16:46:39+00:00,0,threshold
3w_aligned,WELL-00001_20140124083303,WELL-00001,aligned,1,9,2014-01-24T17:46:39+00:00,0,threshold
3w_aligned,WELL-00001_20140124083303,WELL-00001,aligned,2,10,2014-01-24T18:46:39+00:00,0,threshold
3w_aligned,WELL-00001_20140124083303,WELL-00001,aligned,3,11,2014-01-24T19:46:39+00:00,0,stream
3w_aligned,WELL-00001_20140124083303,WELL-00001,aligned,4,13,2014-01-24T21:46:39+00:00,1,stream
3w_aligned,WELL-00001_20140124083303,WELL-00001,aligned,5,14,2014-01-24T22:46:39+00:00,1,stream
3w_aligned,WELL-00001_20170226130146,WELL-00001,aligned,0,5,2017-02-26T18:24:16+00:00,0,threshold
3w_aligned,WELL-00001_20170226130146,WELL-00001,aligned,1,6,2017-02-26T19:24:16+00:00,0,threshold
3w_aligned,WELL-00001_20170226130146,WELL-00001,aligned,2,7,2017-02-26T20:24:16+00:00,0,threshold
3w_aligned,WELL-00001_20170226130146,WELL-00001,aligned,3,8,2017-02-26T21:24:16+00:00,0,stream
3w_aligned,WELL-00001_20170226130146,WELL-00001,aligned,4,10,2017-02-26T23:24:16+00:00,1,stream
3w_aligned,WELL-00001_20170226130146,WELL-00001,aligned,5,11,2017-02-27T00:24:16+00:00,1,stream
3w_aligned,WELL-00002_20140212160333,WELL-00002,aligned,0,0,2014-02-12T16:13:50+00:00,0,threshold
3w_aligned,WELL-00002_20140212160333,WELL-00002,aligned,1,1,2014-02-12T17:13:50+00:00,0,threshold
3w_aligned,WELL-00002_20140212160333,WELL-00002,aligned,2,2,2014-02-12T18:13:50+00:00,0,threshold
3w_aligned,WELL-00002_20140212160333,WELL-00002,aligned,3,3,2014-02-12T19:13:50+00:00,0,stream
3w_aligned,WELL-00002_20140212160333,WELL-00002,aligned,4,5,2014-02-12T21:13:50+00:00,1,stream
3w_aligned,WELL-00002_20140212160333,WELL-00002,aligned,5,6,2014-02-12T22:13:50+00:00,1,stream
3w_aligned,WELL-00006_20170731170930,WELL-00006,aligned,0,11,2017-08-01T04:32:22+00:00,0,threshold
3w_aligned,WELL-00006_20170731170930,WELL-00006,aligned,1,12,2017-08-01T05:32:22+00:00,0,threshold
3w_aligned,WELL-00006_20170731170930,WELL-00006,aligned,2,13,2017-08-01T06:32:22+00:00,0,threshold
3w_aligned,WELL-00006_20170731170930,WELL-00006,aligned,3,14,2017-08-01T07:32:22+00:00,0,stream
3w_aligned,WELL-00006_20170731170930,WELL-00006,aligned,4,16,2017-08-01T09:32:22+00:00,1,stream
3w_aligned,WELL-00006_20170731170930,WELL-00006,aligned,5,17,2017-08-01T10:32:22+00:00,1,stream
3w_aligned,WELL-00006_20180617190257,WELL-00006,aligned,0,7,2018-06-18T03:01:46+00:00,0,threshold
3w_aligned,WELL-00006_20180617190257,WELL-00006,aligned,1,8,2018-06-18T04:01:46+00:00,0,threshold
3w_aligned,WELL-00006_20180617190257,WELL-00006,aligned,2,9,2018-06-18T05:01:46+00:00,0,threshold
3w_aligned,WELL-00006_20180617190257,WELL-00006,aligned,3,10,2018-06-18T06:01:46+00:00,0,stream
