tool,experiment,folder,group,n_windows,n_stream,n_scored,n_refused,threshold,roc_auc,auc_refusal,first_anomaly_window,last_anomaly_window,n_pre,n_pre_fired,detected,delay_windows,n_post,n_post_fired,recovered,refusal
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,167,164,164,0,2.0,,record carries one class only in its scored stream windows,,,164.0,164.0,,,,,,
clock,other__1,other,labelled,14,11,11,0,2.0,1.0,,9.0,13.0,6.0,6.0,True,0.0,0.0,0.0,,
clock,other__10,other,labelled,24,21,21,0,2.0,0.7,,10.0,20.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,other__11,other,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,other__12,other,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,other__13,other,labelled,19,16,16,0,2.0,0.6667,,9.0,15.0,6.0,6.0,True,0.0,3.0,3.0,False,
clock,other__14,other,labelled,16,13,13,0,2.0,1.0,,10.0,15.0,7.0,7.0,True,0.0,0.0,0.0,,
clock,other__2,other,labelled,18,15,15,0,2.0,0.2857,,5.0,12.0,2.0,2.0,True,0.0,5.0,5.0,False,
clock,other__3,other,labelled,20,17,17,0,2.0,0.6667,,9.0,16.0,6.0,6.0,True,0.0,3.0,3.0,False,
clock,other__4,other,labelled,21,18,18,0,2.0,1.0,,14.0,20.0,11.0,11.0,True,0.0,0.0,0.0,,
clock,other__5,other,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,other__6,other,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,other__7,other,labelled,20,17,17,0,2.0,0.7,,10.0,16.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,other__8,other,labelled,21,18,18,0,2.0,0.7,,10.0,17.0,7.0,7.0,True,0.0,3.0,3.0,False,
clock,other__9,other,labelled,20,17,17,0,2.0,0.6667,,9.0,16.0,6.0,6.0,True,0.0,3.0,3.0,False,
