experiment,group,delta,seed,alarm
anomaly-free__anomaly-free,anomaly_free,0.01,0,False
anomaly-free__anomaly-free,anomaly_free,0.01,1,False
anomaly-free__anomaly-free,anomaly_free,0.01,2,False
anomaly-free__anomaly-free,anomaly_free,0.01,3,False
anomaly-free__anomaly-free,anomaly_free,0.01,4,False
anomaly-free__anomaly-free,anomaly_free,0.01,5,False
anomaly-free__anomaly-free,anomaly_free,0.01,6,False
anomaly-free__anomaly-free,anomaly_free,0.01,7,False
anomaly-free__anomaly-free,anomaly_free,0.01,8,False
anomaly-free__anomaly-free,anomaly_free,0.01,9,False
anomaly-free__anomaly-free,anomaly_free,0.05,0,False
anomaly-free__anomaly-free,anomaly_free,0.05,1,False
anomaly-free__anomaly-free,anomaly_free,0.05,2,False
anomaly-free__anomaly-free,anomaly_free,0.05,3,False
anomaly-free__anomaly-free,anomaly_free,0.05,4,False
anomaly-free__anomaly-free,anomaly_free,0.05,5,False
anomaly-free__anomaly-free,anomaly_free,0.05,6,False
anomaly-free__anomaly-free,anomaly_free,0.05,7,False
anomaly-free__anomaly-free,anomaly_free,0.05,8,False
anomaly-free__anomaly-free,anomaly_free,0.05,9,False
other__1,labelled,0.01,0,False
other__1,labelled,0.01,1,False
other__1,labelled,0.01,2,False
other__1,labelled,0.01,3,False
other__1,labelled,0.01,4,False
other__1,labelled,0.01,5,False
other__1,labelled,0.01,6,False
other__1,labelled,0.01,7,False
other__1,labelled,0.01,8,False
other__1,labelled,0.01,9,False
other__1,labelled,0.05,0,False
other__1,labelled,0.05,1,False
other__1,labelled,0.05,2,False
other__1,labelled,0.05,3,False
other__1,labelled,0.05,4,False
other__1,labelled,0.05,5,False
other__1,labelled,0.05,6,False
other__1,labelled,0.05,7,False
other__1,labelled,0.05,8,False
other__1,labelled,0.05,9,False
other__10,labelled,0.01,0,False
other__10,labelled,0.01,1,False
other__10,labelled,0.01,2,False
other__10,labelled,0.01,3,False
other__10,labelled,0.01,4,False
other__10,labelled,0.01,5,False
other__10,labelled,0.01,6,False
other__10,labelled,0.01,7,False
other__10,labelled,0.01,8,False
other__10,labelled,0.01,9,False
other__10,labelled,0.05,0,False
other__10,labelled,0.05,1,False
other__10,labelled,0.05,2,False
other__10,labelled,0.05,3,False
other__10,labelled,0.05,4,False
other__10,labelled,0.05,5,False
other__10,labelled,0.05,6,False
other__10,labelled,0.05,7,False
other__10,labelled,0.05,8,False
other__10,labelled,0.05,9,False
other__11,labelled,0.01,0,False
other__11,labelled,0.01,1,False
other__11,labelled,0.01,2,False
other__11,labelled,0.01,3,False
other__11,labelled,0.01,4,False
other__11,labelled,0.01,5,False
other__11,labelled,0.01,6,False
other__11,labelled,0.01,7,False
other__11,labelled,0.01,8,False
other__11,labelled,0.01,9,False
other__11,labelled,0.05,0,False
other__11,labelled,0.05,1,False
other__11,labelled,0.05,2,False
other__11,labelled,0.05,3,False
other__11,labelled,0.05,4,False
other__11,labelled,0.05,5,False
other__11,labelled,0.05,6,False
other__11,labelled,0.05,7,False
other__11,labelled,0.05,8,False
other__11,labelled,0.05,9,False
other__12,labelled,0.01,0,False
other__12,labelled,0.01,1,False
other__12,labelled,0.01,2,False
other__12,labelled,0.01,3,False
other__12,labelled,0.01,4,False
other__12,labelled,0.01,5,False
other__12,labelled,0.01,6,False
other__12,labelled,0.01,7,False
other__12,labelled,0.01,8,False
other__12,labelled,0.01,9,False
other__12,labelled,0.05,0,False
other__12,labelled,0.05,1,False
other__12,labelled,0.05,2,False
other__12,labelled,0.05,3,False
other__12,labelled,0.05,4,False
other__12,labelled,0.05,5,False
other__12,labelled,0.05,6,False
other__12,labelled,0.05,7,False
other__12,labelled,0.05,8,False
other__12,labelled,0.05,9,False
other__13,labelled,0.01,0,False
other__13,labelled,0.01,1,False
other__13,labelled,0.01,2,False
other__13,labelled,0.01,3,False
other__13,labelled,0.01,4,False
other__13,labelled,0.01,5,False
other__13,labelled,0.01,6,False
other__13,labelled,0.01,7,False
other__13,labelled,0.01,8,False
other__13,labelled,0.01,9,False
other__13,labelled,0.05,0,False
other__13,labelled,0.05,1,False
other__13,labelled,0.05,2,False
other__13,labelled,0.05,3,False
other__13,labelled,0.05,4,False
other__13,labelled,0.05,5,False
other__13,labelled,0.05,6,False
other__13,labelled,0.05,7,False
other__13,labelled,0.05,8,False
other__13,labelled,0.05,9,False
other__14,labelled,0.01,0,False
other__14,labelled,0.01,1,False
other__14,labelled,0.01,2,False
other__14,labelled,0.01,3,False
other__14,labelled,0.01,4,False
other__14,labelled,0.01,5,False
other__14,labelled,0.01,6,False
other__14,labelled,0.01,7,False
other__14,labelled,0.01,8,False
other__14,labelled,0.01,9,False
other__14,labelled,0.05,0,False
other__14,labelled,0.05,1,False
other__14,labelled,0.05,2,False
other__14,labelled,0.05,3,False
other__14,labelled,0.05,4,False
other__14,labelled,0.05,5,False
other__14,labelled,0.05,6,False
other__14,labelled,0.05,7,False
other__14,labelled,0.05,8,False
other__14,labelled,0.05,9,False
other__3,labelled,0.01,0,False
other__3,labelled,0.01,1,False
other__3,labelled,0.01,2,False
other__3,labelled,0.01,3,False
other__3,labelled,0.01,4,False
other__3,labelled,0.01,5,False
other__3,labelled,0.01,6,False
other__3,labelled,0.01,7,False
other__3,labelled,0.01,8,False
other__3,labelled,0.01,9,False
other__3,labelled,0.05,0,False
other__3,labelled,0.05,1,False
other__3,labelled,0.05,2,False
other__3,labelled,0.05,3,False
other__3,labelled,0.05,4,False
other__3,labelled,0.05,5,False
other__3,labelled,0.05,6,False
other__3,labelled,0.05,7,False
other__3,labelled,0.05,8,False
other__3,labelled,0.05,9,False
other__4,labelled,0.01,0,False
other__4,labelled,0.01,1,False
other__4,labelled,0.01,2,False
other__4,labelled,0.01,3,False
other__4,labelled,0.01,4,False
other__4,labelled,0.01,5,False
other__4,labelled,0.01,6,False
other__4,labelled,0.01,7,False
other__4,labelled,0.01,8,False
other__4,labelled,0.01,9,False
other__4,labelled,0.05,0,False
other__4,labelled,0.05,1,False
other__4,labelled,0.05,2,False
other__4,labelled,0.05,3,False
other__4,labelled,0.05,4,False
other__4,labelled,0.05,5,False
other__4,labelled,0.05,6,False
other__4,labelled,0.05,7,False
other__4,labelled,0.05,8,False
other__4,labelled,0.05,9,False
other__5,labelled,0.01,0,False
other__5,labelled,0.01,1,False
other__5,labelled,0.01,2,False
other__5,labelled,0.01,3,False
other__5,labelled,0.01,4,False
other__5,labelled,0.01,5,False
other__5,labelled,0.01,6,False
other__5,labelled,0.01,7,False
other__5,labelled,0.01,8,False
other__5,labelled,0.01,9,False
other__5,labelled,0.05,0,False
other__5,labelled,0.05,1,False
other__5,labelled,0.05,2,False
other__5,labelled,0.05,3,False
other__5,labelled,0.05,4,False
other__5,labelled,0.05,5,False
other__5,labelled,0.05,6,False
other__5,labelled,0.05,7,False
other__5,labelled,0.05,8,False
other__5,labelled,0.05,9,False
other__6,labelled,0.01,0,False
other__6,labelled,0.01,1,False
other__6,labelled,0.01,2,False
other__6,labelled,0.01,3,False
other__6,labelled,0.01,4,False
other__6,labelled,0.01,5,False
other__6,labelled,0.01,6,False
other__6,labelled,0.01,7,False
other__6,labelled,0.01,8,False
other__6,labelled,0.01,9,False
other__6,labelled,0.05,0,False
other__6,labelled,0.05,1,False
other__6,labelled,0.05,2,False
other__6,labelled,0.05,3,False
other__6,labelled,0.05,4,False
other__6,labelled,0.05,5,False
other__6,labelled,0.05,6,False
other__6,labelled,0.05,7,False
other__6,labelled,0.05,8,False
other__6,labelled,0.05,9,False
other__7,labelled,0.01,0,False
other__7,labelled,0.01,1,False
other__7,labelled,0.01,2,False
other__7,labelled,0.01,3,False
other__7,labelled,0.01,4,False
other__7,labelled,0.01,5,False
other__7,labelled,0.01,6,False
other__7,labelled,0.01,7,False
