experiment,folder,tag,n_samples,n_good,first_timestamp,last_timestamp,calculation_basis,retrieval_mode,aggregate_type,stepped,quality_assumed,unit_raw,declared_rate_s,interval_median_s,interval_p05_s,interval_p95_s,coverage,n_gaps,longest_gap_s,n_duplicate_timestamps,distinct_count,mad,min,max,frozen_whole_record,zero_mad_whole_record,flatline_whole_record,flatline_windows_assessed,flatline_windows_fired
anomaly-free__anomaly-free,anomaly-free,Accelerometer1RMS,9405,9405,2020-02-08T13:30:47+00:00,2020-02-08T16:16:47+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,6941,0.0024,0.1882,0.2272,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),165,0
anomaly-free__anomaly-free,anomaly-free,Accelerometer2RMS,9405,9405,2020-02-08T13:30:47+00:00,2020-02-08T16:16:47+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,6667,0.0024,0.2481,0.2799,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),165,1
anomaly-free__anomaly-free,anomaly-free,Current,9405,9405,2020-02-08T13:30:47+00:00,2020-02-08T16:16:47+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,9062,0.2578,0.8553,3.2415,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),165,1
anomaly-free__anomaly-free,anomaly-free,Pressure,9405,9405,2020-02-08T13:30:47+00:00,2020-02-08T16:16:47+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,9,0.0,-1.257,1.3664,False,True,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),165,12
anomaly-free__anomaly-free,anomaly-free,Temperature,9405,9405,2020-02-08T13:30:47+00:00,2020-02-08T16:16:47+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,7635,0.4255,88.1713,91.7249,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),165,2
anomaly-free__anomaly-free,anomaly-free,Thermocouple,9405,9405,2020-02-08T13:30:47+00:00,2020-02-08T16:16:47+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,6318,0.5375,26.8508,29.5221,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),165,4
anomaly-free__anomaly-free,anomaly-free,Voltage,9405,9405,2020-02-08T13:30:47+00:00,2020-02-08T16:16:47+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,8210,6.14,201.365,252.806,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),165,1
anomaly-free__anomaly-free,anomaly-free,Volume Flow RateRMS,9405,9405,2020-02-08T13:30:47+00:00,2020-02-08T16:16:47+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,2.0,1.0,0,,0,289,0.977,118.0,128.353,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),165,9
other__1,other,Accelerometer1RMS,745,745,2020-03-01T15:44:06+00:00,2020-03-01T15:57:06+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.0,1.0,0,,0,739,0.0007,0.0784,0.0836,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),12,0
other__1,other,Accelerometer2RMS,745,745,2020-03-01T15:44:06+00:00,2020-03-01T15:57:06+00:00,TIME_WEIGHTED,RECORDED,NONE,False,True,,,1.0,1.0,1.0,1.0,0,,0,718,0.002,0.1242,0.139,False,False,flatline verdict: NOT ASSESSED (no evaluable signal (no reference history / no coupled tag)),12,1
