tool,experiment,folder,group,window_key,window_index,role,label,label_majority,score,refusal
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:0,0,baseline,0,0,0.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:1,1,baseline,0,0,1.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:2,2,baseline,0,0,2.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:3,3,stream,0,0,3.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:4,4,stream,0,0,4.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:5,5,stream,0,0,5.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:6,6,stream,0,0,6.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:7,7,stream,0,0,7.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:8,8,stream,0,0,8.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:9,9,stream,0,0,9.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:10,10,stream,0,0,10.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:11,11,stream,0,0,11.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:12,12,stream,0,0,12.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:13,13,stream,0,0,13.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:14,14,stream,0,0,14.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:15,15,stream,0,0,15.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:16,16,stream,0,0,16.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:17,17,stream,0,0,17.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:18,18,stream,0,0,18.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:19,19,stream,0,0,19.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:20,20,stream,0,0,20.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:21,21,stream,0,0,21.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:22,22,stream,0,0,22.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:23,23,stream,0,0,23.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:24,24,stream,0,0,24.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:25,25,stream,0,0,25.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:26,26,stream,0,0,26.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:27,27,stream,0,0,27.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:28,28,stream,0,0,28.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:29,29,stream,0,0,29.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:30,30,stream,0,0,30.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:31,31,stream,0,0,31.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:32,32,stream,0,0,32.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:33,33,stream,0,0,33.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:34,34,stream,0,0,34.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:35,35,stream,0,0,35.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:36,36,stream,0,0,36.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:37,37,stream,0,0,37.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:38,38,stream,0,0,38.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:39,39,stream,0,0,39.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:40,40,stream,0,0,40.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:41,41,stream,0,0,41.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:42,42,stream,0,0,42.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:43,43,stream,0,0,43.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:44,44,stream,0,0,44.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:45,45,stream,0,0,45.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:46,46,stream,0,0,46.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:47,47,stream,0,0,47.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:48,48,stream,0,0,48.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:49,49,stream,0,0,49.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:50,50,stream,0,0,50.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:51,51,stream,0,0,51.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:52,52,stream,0,0,52.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:53,53,stream,0,0,53.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:54,54,stream,0,0,54.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:55,55,stream,0,0,55.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:56,56,stream,0,0,56.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:57,57,stream,0,0,57.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:58,58,stream,0,0,58.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:59,59,stream,0,0,59.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:60,60,stream,0,0,60.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:61,61,stream,0,0,61.0,
clock,anomaly-free__anomaly-free,anomaly-free,anomaly_free,anomaly-free__anomaly-free:62,62,stream,0,0,62.0,
