experiment,folder,group,n_stream,n_pre,n_span,n_post,n_spans
anomaly-free__anomaly-free,anomaly-free,anomaly_free,164,164,0,0,0
other__1,other,labelled,11,6,5,0,1
other__10,other,labelled,21,7,11,3,1
other__11,other,labelled,18,7,8,3,1
other__12,other,labelled,18,7,8,3,1
other__13,other,labelled,16,6,7,3,1
other__14,other,labelled,13,7,6,0,1
other__2,other,labelled,15,2,8,5,1
other__3,other,labelled,17,6,8,3,1
other__4,other,labelled,18,11,7,0,1
other__5,other,labelled,18,7,8,3,1
other__6,other,labelled,18,7,8,3,1
other__7,other,labelled,17,7,7,3,1
other__8,other,labelled,18,7,8,3,1
other__9,other,labelled,17,6,8,3,1
valve1__0,valve1,labelled,17,7,7,3,1
valve1__1,valve1,labelled,18,7,8,3,1
valve1__10,valve1,labelled,17,7,7,3,1
valve1__11,valve1,labelled,18,7,8,3,1
valve1__12,valve1,labelled,18,7,8,3,1
valve1__13,valve1,labelled,17,7,7,3,1
valve1__14,valve1,labelled,17,7,7,3,1
valve1__15,valve1,labelled,18,7,8,3,1
valve1__2,valve1,labelled,17,8,6,3,1
valve1__3,valve1,labelled,18,7,8,3,1
valve1__4,valve1,labelled,17,7,7,3,1
valve1__5,valve1,labelled,17,7,7,3,1
valve1__6,valve1,labelled,17,7,8,2,1
valve1__7,valve1,labelled,18,7,8,3,1
valve1__8,valve1,labelled,17,6,8,3,1
valve1__9,valve1,labelled,18,7,8,3,1
valve2__0,valve2,labelled,17,7,7,3,1
valve2__1,valve2,labelled,18,7,7,4,2
valve2__2,valve2,labelled,17,7,7,3,1
valve2__3,valve2,labelled,15,7,8,0,1
