tool,experiment,tag,window_index,score
screen,anomaly-free__anomaly-free,Accelerometer1RMS,0,2.6704
screen,anomaly-free__anomaly-free,Accelerometer1RMS,1,1.6732
screen,anomaly-free__anomaly-free,Accelerometer1RMS,2,3.4756
screen,anomaly-free__anomaly-free,Accelerometer1RMS,3,2.2714
screen,anomaly-free__anomaly-free,Accelerometer1RMS,4,2.9656
screen,anomaly-free__anomaly-free,Accelerometer1RMS,5,3.0844
screen,anomaly-free__anomaly-free,Accelerometer1RMS,6,3.2276
screen,anomaly-free__anomaly-free,Accelerometer1RMS,7,2.7995
screen,anomaly-free__anomaly-free,Accelerometer1RMS,8,2.4571
screen,anomaly-free__anomaly-free,Accelerometer1RMS,9,2.4996
screen,anomaly-free__anomaly-free,Accelerometer1RMS,10,2.827
screen,anomaly-free__anomaly-free,Accelerometer1RMS,11,2.6279
screen,anomaly-free__anomaly-free,Accelerometer1RMS,12,2.2053
screen,anomaly-free__anomaly-free,Accelerometer1RMS,13,1.9983
screen,anomaly-free__anomaly-free,Accelerometer1RMS,14,1.8212
screen,anomaly-free__anomaly-free,Accelerometer1RMS,15,2.0274
screen,anomaly-free__anomaly-free,Accelerometer1RMS,16,2.3855
screen,anomaly-free__anomaly-free,Accelerometer1RMS,17,2.5036
screen,anomaly-free__anomaly-free,Accelerometer1RMS,18,5.3534
screen,anomaly-free__anomaly-free,Accelerometer1RMS,19,5.0363
screen,anomaly-free__anomaly-free,Accelerometer1RMS,20,5.4109
screen,anomaly-free__anomaly-free,Accelerometer1RMS,21,4.7348
screen,anomaly-free__anomaly-free,Accelerometer1RMS,22,5.5077
screen,anomaly-free__anomaly-free,Accelerometer1RMS,23,6.1058
screen,anomaly-free__anomaly-free,Accelerometer1RMS,24,6.2412
screen,anomaly-free__anomaly-free,Accelerometer1RMS,25,5.7485
screen,anomaly-free__anomaly-free,Accelerometer1RMS,26,7.0857
screen,anomaly-free__anomaly-free,Accelerometer1RMS,27,8.8557
screen,anomaly-free__anomaly-free,Accelerometer1RMS,28,8.8321
screen,anomaly-free__anomaly-free,Accelerometer1RMS,29,8.6212
screen,anomaly-free__anomaly-free,Accelerometer1RMS,30,8.559
screen,anomaly-free__anomaly-free,Accelerometer1RMS,31,8.7999
screen,anomaly-free__anomaly-free,Accelerometer1RMS,32,8.6385
screen,anomaly-free__anomaly-free,Accelerometer1RMS,33,8.7794
screen,anomaly-free__anomaly-free,Accelerometer1RMS,34,9.0777
screen,anomaly-free__anomaly-free,Accelerometer1RMS,35,9.5428
screen,anomaly-free__anomaly-free,Accelerometer1RMS,36,8.7896
screen,anomaly-free__anomaly-free,Accelerometer1RMS,37,9.1918
screen,anomaly-free__anomaly-free,Accelerometer1RMS,38,9.7144
screen,anomaly-free__anomaly-free,Accelerometer1RMS,39,9.8734
screen,anomaly-free__anomaly-free,Accelerometer1RMS,40,9.1383
screen,anomaly-free__anomaly-free,Accelerometer1RMS,41,8.2434
screen,anomaly-free__anomaly-free,Accelerometer1RMS,42,7.9459
screen,anomaly-free__anomaly-free,Accelerometer1RMS,43,7.953
screen,anomaly-free__anomaly-free,Accelerometer1RMS,44,7.4855
screen,anomaly-free__anomaly-free,Accelerometer1RMS,45,7.203
screen,anomaly-free__anomaly-free,Accelerometer1RMS,46,7.8822
screen,anomaly-free__anomaly-free,Accelerometer1RMS,47,7.5619
screen,anomaly-free__anomaly-free,Accelerometer1RMS,48,7.7775
screen,anomaly-free__anomaly-free,Accelerometer1RMS,49,7.48
screen,anomaly-free__anomaly-free,Accelerometer1RMS,50,7.9947
screen,anomaly-free__anomaly-free,Accelerometer1RMS,51,7.6705
screen,anomaly-free__anomaly-free,Accelerometer1RMS,52,8.1348
screen,anomaly-free__anomaly-free,Accelerometer1RMS,53,7.9011
screen,anomaly-free__anomaly-free,Accelerometer1RMS,54,8.2363
screen,anomaly-free__anomaly-free,Accelerometer1RMS,55,9.1981
screen,anomaly-free__anomaly-free,Accelerometer1RMS,56,8.0081
screen,anomaly-free__anomaly-free,Accelerometer1RMS,57,9.4877
screen,anomaly-free__anomaly-free,Accelerometer1RMS,58,9.9269
screen,anomaly-free__anomaly-free,Accelerometer1RMS,59,9.6207
screen,anomaly-free__anomaly-free,Accelerometer1RMS,60,9.6325
screen,anomaly-free__anomaly-free,Accelerometer1RMS,61,10.0103
screen,anomaly-free__anomaly-free,Accelerometer1RMS,62,10.1913
screen,anomaly-free__anomaly-free,Accelerometer1RMS,63,10.0764
screen,anomaly-free__anomaly-free,Accelerometer1RMS,64,10.4495
screen,anomaly-free__anomaly-free,Accelerometer1RMS,65,10.651
screen,anomaly-free__anomaly-free,Accelerometer1RMS,66,9.5129
screen,anomaly-free__anomaly-free,Accelerometer1RMS,67,9.8765
screen,anomaly-free__anomaly-free,Accelerometer1RMS,68,9.4169
screen,anomaly-free__anomaly-free,Accelerometer1RMS,69,9.5782
screen,anomaly-free__anomaly-free,Accelerometer1RMS,70,10.0882
screen,anomaly-free__anomaly-free,Accelerometer1RMS,71,10.5298
screen,anomaly-free__anomaly-free,Accelerometer1RMS,72,10.4849
screen,anomaly-free__anomaly-free,Accelerometer1RMS,73,10.4613
screen,anomaly-free__anomaly-free,Accelerometer1RMS,74,10.2858
screen,anomaly-free__anomaly-free,Accelerometer1RMS,75,9.8403
screen,anomaly-free__anomaly-free,Accelerometer1RMS,76,9.8797
screen,anomaly-free__anomaly-free,Accelerometer1RMS,77,10.019
screen,anomaly-free__anomaly-free,Accelerometer1RMS,78,10.8564
screen,anomaly-free__anomaly-free,Accelerometer1RMS,79,10.555
screen,anomaly-free__anomaly-free,Accelerometer1RMS,80,10.7131
screen,anomaly-free__anomaly-free,Accelerometer1RMS,81,10.9563
screen,anomaly-free__anomaly-free,Accelerometer1RMS,82,11.1712
screen,anomaly-free__anomaly-free,Accelerometer1RMS,83,11.549
screen,anomaly-free__anomaly-free,Accelerometer1RMS,84,10.3141
screen,anomaly-free__anomaly-free,Accelerometer1RMS,85,10.455
screen,anomaly-free__anomaly-free,Accelerometer1RMS,86,10.6722
screen,anomaly-free__anomaly-free,Accelerometer1RMS,87,11.2389
