experiment,tag,usable,reason
anomaly-free__anomaly-free,Accelerometer1RMS,True,
anomaly-free__anomaly-free,Accelerometer2RMS,True,
anomaly-free__anomaly-free,Current,True,
anomaly-free__anomaly-free,Pressure,False,baseline MAD scale is zero
anomaly-free__anomaly-free,Temperature,True,
anomaly-free__anomaly-free,Thermocouple,True,
anomaly-free__anomaly-free,Voltage,True,
anomaly-free__anomaly-free,Volume Flow RateRMS,True,
other__1,Accelerometer1RMS,True,
other__1,Accelerometer2RMS,True,
other__1,Current,True,
other__1,Pressure,False,baseline MAD scale is zero
other__1,Temperature,True,
other__1,Thermocouple,True,
other__1,Voltage,True,
other__1,Volume Flow RateRMS,True,
other__10,Accelerometer1RMS,True,
other__10,Accelerometer2RMS,True,
other__10,Current,True,
other__10,Pressure,True,
other__10,Temperature,True,
other__10,Thermocouple,True,
other__10,Voltage,True,
other__10,Volume Flow RateRMS,True,
other__11,Accelerometer1RMS,True,
other__11,Accelerometer2RMS,True,
other__11,Current,True,
other__11,Pressure,True,
other__11,Temperature,True,
other__11,Thermocouple,True,
other__11,Voltage,True,
other__11,Volume Flow RateRMS,True,
other__12,Accelerometer1RMS,True,
other__12,Accelerometer2RMS,True,
other__12,Current,True,
other__12,Pressure,False,baseline MAD scale is zero
other__12,Temperature,True,
other__12,Thermocouple,True,
other__12,Voltage,True,
other__12,Volume Flow RateRMS,True,
other__13,Accelerometer1RMS,True,
other__13,Accelerometer2RMS,True,
other__13,Current,True,
other__13,Pressure,False,baseline MAD scale is zero
other__13,Temperature,True,
other__13,Thermocouple,True,
other__13,Voltage,True,
other__13,Volume Flow RateRMS,True,
other__14,Accelerometer1RMS,True,
other__14,Accelerometer2RMS,True,
other__14,Current,True,
other__14,Pressure,False,baseline MAD scale is zero
other__14,Temperature,True,
other__14,Thermocouple,True,
other__14,Voltage,True,
other__14,Volume Flow RateRMS,True,
other__2,Accelerometer1RMS,True,
other__2,Accelerometer2RMS,True,
other__2,Current,True,
other__2,Pressure,False,baseline MAD scale is zero
other__2,Temperature,True,
other__2,Thermocouple,True,
other__2,Voltage,True,
other__2,Volume Flow RateRMS,True,
other__3,Accelerometer1RMS,True,
other__3,Accelerometer2RMS,True,
other__3,Current,True,
other__3,Pressure,False,baseline MAD scale is zero
other__3,Temperature,True,
other__3,Thermocouple,True,
other__3,Voltage,True,
other__3,Volume Flow RateRMS,True,
other__4,Accelerometer1RMS,True,
other__4,Accelerometer2RMS,True,
other__4,Current,True,
other__4,Pressure,False,baseline MAD scale is zero
other__4,Temperature,True,
other__4,Thermocouple,True,
other__4,Voltage,True,
other__4,Volume Flow RateRMS,True,
other__5,Accelerometer1RMS,True,
other__5,Accelerometer2RMS,True,
other__5,Current,True,
other__5,Pressure,False,baseline MAD scale is zero
other__5,Temperature,True,
other__5,Thermocouple,True,
other__5,Voltage,True,
other__5,Volume Flow RateRMS,True,
other__6,Accelerometer1RMS,True,
other__6,Accelerometer2RMS,True,
other__6,Current,True,
other__6,Pressure,False,baseline MAD scale is zero
other__6,Temperature,True,
other__6,Thermocouple,True,
other__6,Voltage,True,
other__6,Volume Flow RateRMS,True,
other__7,Accelerometer1RMS,True,
other__7,Accelerometer2RMS,True,
other__7,Current,True,
other__7,Pressure,False,baseline MAD scale is zero
other__7,Temperature,True,
