window_key,experiment,folder,window_index,role,window_start,window_end,n_rows,n_anomaly_rows,label,label_majority,changepoint_in_window,group
anomaly-free__anomaly-free:0,anomaly-free__anomaly-free,anomaly-free,0,baseline,2020-02-08T13:30:47+00:00,2020-02-08T13:31:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:1,anomaly-free__anomaly-free,anomaly-free,1,baseline,2020-02-08T13:31:47+00:00,2020-02-08T13:32:47+00:00,57,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:2,anomaly-free__anomaly-free,anomaly-free,2,baseline,2020-02-08T13:32:47+00:00,2020-02-08T13:33:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:3,anomaly-free__anomaly-free,anomaly-free,3,stream,2020-02-08T13:33:47+00:00,2020-02-08T13:34:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:4,anomaly-free__anomaly-free,anomaly-free,4,stream,2020-02-08T13:34:47+00:00,2020-02-08T13:35:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:5,anomaly-free__anomaly-free,anomaly-free,5,stream,2020-02-08T13:35:47+00:00,2020-02-08T13:36:47+00:00,57,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:6,anomaly-free__anomaly-free,anomaly-free,6,stream,2020-02-08T13:36:47+00:00,2020-02-08T13:37:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:7,anomaly-free__anomaly-free,anomaly-free,7,stream,2020-02-08T13:37:47+00:00,2020-02-08T13:38:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:8,anomaly-free__anomaly-free,anomaly-free,8,stream,2020-02-08T13:38:47+00:00,2020-02-08T13:39:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:9,anomaly-free__anomaly-free,anomaly-free,9,stream,2020-02-08T13:39:47+00:00,2020-02-08T13:40:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:10,anomaly-free__anomaly-free,anomaly-free,10,stream,2020-02-08T13:40:47+00:00,2020-02-08T13:41:47+00:00,57,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:11,anomaly-free__anomaly-free,anomaly-free,11,stream,2020-02-08T13:41:47+00:00,2020-02-08T13:42:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:12,anomaly-free__anomaly-free,anomaly-free,12,stream,2020-02-08T13:42:47+00:00,2020-02-08T13:43:47+00:00,57,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:13,anomaly-free__anomaly-free,anomaly-free,13,stream,2020-02-08T13:43:47+00:00,2020-02-08T13:44:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:14,anomaly-free__anomaly-free,anomaly-free,14,stream,2020-02-08T13:44:47+00:00,2020-02-08T13:45:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:15,anomaly-free__anomaly-free,anomaly-free,15,stream,2020-02-08T13:45:47+00:00,2020-02-08T13:46:47+00:00,57,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:16,anomaly-free__anomaly-free,anomaly-free,16,stream,2020-02-08T13:46:47+00:00,2020-02-08T13:47:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:17,anomaly-free__anomaly-free,anomaly-free,17,stream,2020-02-08T13:47:47+00:00,2020-02-08T13:48:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:18,anomaly-free__anomaly-free,anomaly-free,18,stream,2020-02-08T13:48:47+00:00,2020-02-08T13:49:47+00:00,54,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:19,anomaly-free__anomaly-free,anomaly-free,19,stream,2020-02-08T13:49:47+00:00,2020-02-08T13:50:47+00:00,53,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:20,anomaly-free__anomaly-free,anomaly-free,20,stream,2020-02-08T13:50:47+00:00,2020-02-08T13:51:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:21,anomaly-free__anomaly-free,anomaly-free,21,stream,2020-02-08T13:51:47+00:00,2020-02-08T13:52:47+00:00,57,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:22,anomaly-free__anomaly-free,anomaly-free,22,stream,2020-02-08T13:52:47+00:00,2020-02-08T13:53:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:23,anomaly-free__anomaly-free,anomaly-free,23,stream,2020-02-08T13:53:47+00:00,2020-02-08T13:54:47+00:00,57,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:24,anomaly-free__anomaly-free,anomaly-free,24,stream,2020-02-08T13:54:47+00:00,2020-02-08T13:55:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:25,anomaly-free__anomaly-free,anomaly-free,25,stream,2020-02-08T13:55:47+00:00,2020-02-08T13:56:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:26,anomaly-free__anomaly-free,anomaly-free,26,stream,2020-02-08T13:56:47+00:00,2020-02-08T13:57:47+00:00,57,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:27,anomaly-free__anomaly-free,anomaly-free,27,stream,2020-02-08T13:57:47+00:00,2020-02-08T13:58:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:28,anomaly-free__anomaly-free,anomaly-free,28,stream,2020-02-08T13:58:47+00:00,2020-02-08T13:59:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:29,anomaly-free__anomaly-free,anomaly-free,29,stream,2020-02-08T13:59:47+00:00,2020-02-08T14:00:47+00:00,57,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:30,anomaly-free__anomaly-free,anomaly-free,30,stream,2020-02-08T14:00:47+00:00,2020-02-08T14:01:47+00:00,55,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:31,anomaly-free__anomaly-free,anomaly-free,31,stream,2020-02-08T14:01:47+00:00,2020-02-08T14:02:47+00:00,57,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:32,anomaly-free__anomaly-free,anomaly-free,32,stream,2020-02-08T14:02:47+00:00,2020-02-08T14:03:47+00:00,56,0,0,0,False,anomaly_free
anomaly-free__anomaly-free:33,anomaly-free__anomaly-free,anomaly-free,33,stream,2020-02-08T14:03:47+00:00,2020-02-08T14:04:47+00:00,56,0,0,0,False,anomaly_free
