split,fault,run,loop_id,variable,role,unit_raw,unit_resolved,unit_canonical,n_rows,extent_s,coverage,valid_fraction,whole_life_distinct,n_gaps,gap_classes,longest_gap_s,n_good,n_uncertain,n_bad,unmapped_codes,clipped_fraction,censored,duplicate_timestamps,non_monotonic_positions,dst_transitions,edge_slack_s,flatline_verdict,flatline_fired_signals,flatline_signal_evidence,final_distinct,final_std,stall_s,ref_p99_change_interval_s,ref_p05_distinct,n_reference_windows,refusal_type,refusal_message
train,0,1,fault00_run001,LABEL_fault,MODE,,false,,500,89820,1.000000,1.000000,1,0,,,500,0,0,,,false,0,0,0,0,NOT_ASSESSED_MODE_TAG,,state_valued_tag=state-valued tag (role=MODE); stillness is not a flatline signal,,,,,,7,,
train,0,1,fault00_run001,xmeas_1,PV,kscmh,false,,500,89820,1.000000,1.000000,482,0,,,500,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 180s | distinct_value_count_vs_p05=61 distinct values vs reference p05 58.3 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,61,0.0246266,0,180,58.3,7,,
train,0,1,fault00_run001,xmeas_10,PV,kscmh,false,,500,89820,1.000000,1.000000,462,0,,,500,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 180s | distinct_value_count_vs_p05=61 distinct values vs reference p05 58.3 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,61,0.0116199,0,180,58.3,7,,
train,0,1,fault00_run001,xmeas_11,PV,degC,true,degrees Celsius,500,89820,1.000000,1.000000,374,0,,,500,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 180s | distinct_value_count_vs_p05=60 distinct values vs reference p05 56.0 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,60,0.201576,0,180,56,7,,
train,0,1,fault00_run001,xmeas_12,PV,%,true,percent,500,89820,1.000000,1.000000,462,0,,,500,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 180s | distinct_value_count_vs_p05=61 distinct values vs reference p05 58.3 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,61,0.945178,0,180,58.3,7,,
train,0,1,fault00_run001,xmeas_13,PV,kPa gauge,false,,500,89820,1.000000,1.000000,203,0,,,500,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 360s | distinct_value_count_vs_p05=53 distinct values vs reference p05 45.3 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,53,5.01645,0,360,45.3,7,,
train,0,1,fault00_run001,xmeas_14,PV,m3/h,true,cubic meters per hour,500,89820,1.000000,1.000000,455,0,,,500,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 180s | distinct_value_count_vs_p05=61 distinct values vs reference p05 58.3 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,61,0.939303,0,180,58.3,7,,
train,0,1,fault00_run001,xmeas_15,PV,%,true,percent,500,89820,1.000000,1.000000,470,0,,,500,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 180s | distinct_value_count_vs_p05=61 distinct values vs reference p05 58.3 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,61,0.980547,0,180,58.3,7,,
train,0,1,fault00_run001,xmeas_16,PV,kPa gauge,false,,500,89820,1.000000,1.000000,183,0,,,500,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 360s | distinct_value_count_vs_p05=50 distinct values vs reference p05 45.2 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,50,4.39771,0,360,45.2,7,,
train,0,1,fault00_run001,xmeas_17,PV,m3/h,true,cubic meters per hour,500,89820,1.000000,1.000000,451,0,,,500,0,0,,,false,0,0,0,0,NO_FLATLINE,,time_since_last_actual_change=stall 0s vs own p99 180s | distinct_value_count_vs_p05=60 distinct values vs reference p05 58.0 | zero_std_while_coupled_tag_moves=no curated coupling applies to this tag,60,0.548892,0,180,58,7,,
